,date,id,area_id,is_city,city_name,population,num_reports,symptoms_ratio,symptoms_ratio_confidence,num_reports_weighted,symptoms_ratio_weighted,symptoms_ratio_confidence_weighted
709,2020-10-07,7,0016,1,BET NIR,530,0,,,2,0.909,0.0
1637,2020-10-07,13,0026,1,ROSH PINNA,2780,0,,,22,0.915,0.0
1915,2020-10-07,15,0028,1,MAZKERET BATYA,10680,0,,,6,0.887,0.0
2300,2020-10-07,17,0031,1,OFAQIM,24640,0,,,1,0.935,0.0
2584,2020-10-07,19,0033,1,BAT SHELOMO,550,0,,,4,0.895,0.0
3274,2020-10-07,25,0043,1,METULA,1560,0,,,6,0.925,0.0
3718,2020-10-07,28,0047,1,KEFAR TAVOR,3220,0,,,9,0.911,0.0
3922,2020-10-07,29,0048,1,MENAHEMYA,1010,0,,,1,1.185,0.0
5637,2020-10-07,41,0066,1,MERHAVYA(QIBBUZ),1080,0,,,1,0.917,0.0
6087,2020-10-07,44,0070,1,ASHDOD,214890,1,,,32,0.962,0.0
6361,2020-10-07,46,0072,1,GAN SHEMU'EL,860,0,,,3,0.95,0.0
6849,2020-10-07,49,0077,1,AYYELET HASHAHAR,1570,0,,,4,0.94,0.0
6968,2020-10-07,50,0078,1,QIRYAT ANAVIM,430,0,,,1,0.94,0.0
7360,2020-10-07,52,0080,1,NAHALAL,920,0,,,6,0.913,0.0
8423,2020-10-07,59,0090,1,HEFZI-BAH,440,0,,,2,0.925,0.0
9465,2020-10-07,66,0099,1,MIZPE RAMON,5060,0,,,5,0.899,0.0
10564,2020-10-07,75,0122,1,RAMAT YISHAY,7200,0,,,12,0.949,0.0
11212,2020-10-07,79,0130,1,MISHMAR HAEMEQ,1170,2,,,19,0.923,0.0
11731,2020-10-07,82,0134,1,YIF'AT,970,0,,,3,0.905,0.0
12121,2020-10-07,84,0139,1,EN SHEMER,560,0,,,9,1.014,0.0
12803,2020-10-07,89,0144,1,GAN SHELOMO,470,0,,,1,0.915,0.0
13161,2020-10-07,92,0147,1,GIV'AT BRENNER,2560,0,,,41,0.892,0.5
13370,2020-10-07,93,0154,1,TEL MOND,11020,0,,,34,0.899,0.0
13846,2020-10-07,96,0157,1,EN WERED,1370,0,,,13,0.891,0.0
14054,2020-10-07,97,0158,1,NA'AN,1440,0,,,6,0.908,0.0
14445,2020-10-07,99,0160,1,HULDA,500,0,,,6,0.912,0.0
15213,2020-10-07,104,0166,1,GAN YAVNE,20700,0,,,36,0.841,0.0
15626,2020-10-07,106,0168,1,KEFAR YONA,19960,1,,,29,0.913,0.0
15936,2020-10-07,108,0171,1,PARDESIYYA,5480,0,,,7,0.931,0.0
16679,2020-10-07,112,0176,1,AFIQIM,1440,0,,,9,0.941,0.0
16888,2020-10-07,113,0177,1,KEFAR BILU,1240,0,,,6,0.923,0.0
17208,2020-10-07,115,0182,1,EVEN YEHUDA,12410,0,,,21,0.912,0.0
17585,2020-10-07,117,0184,1,RAMAT HAKOVESH,960,0,,,1,0.909,0.0
18019,2020-10-07,121,0189,1,KEFAR PINES,950,0,,,1,0.922,0.0
18404,2020-10-07,123,0191,1,HADAR AM,520,0,,,1,0.904,0.0
18612,2020-10-07,124,0192,1,KEFAR HAHORESH,560,0,,,8,0.9,0.0
19151,2020-10-07,127,0195,1,QADIMA-ZORAN,17960,1,,,16,0.878,0.0
19530,2020-10-07,129,0197,1,MA'BAROT,920,0,,,4,0.923,0.0
20010,2020-10-07,132,0200,1,BET YANNAY,420,0,,,1,0.914,0.0
20219,2020-10-07,133,0202,1,BET OVED,270,0,,,6,0.934,0.0
22693,2020-10-07,148,0229,1,GANNE TIQWA,14260,0,,,14,0.926,0.0
22900,2020-10-07,149,0230,1,MA'AS,780,0,,,16,0.883,0.0
23108,2020-10-07,150,0232,1,SHEFAYIM,1140,0,,,6,0.895,0.0
23968,2020-10-07,155,0239,1,GAN HAYYIM,830,0,,,11,0.898,0.0
24177,2020-10-07,156,0240,1,YOQNE'AM ILLIT,20260,0,,,9,0.921,0.0
24386,2020-10-07,157,0241,1,YOQNE'AM(MOSHAVA),1300,0,,,10,0.916,0.0
25895,2020-10-07,165,0253,1,HULATA,530,0,,,8,0.931,0.0
27058,2020-10-07,173,0264,1,SHA'AR HAGOLAN,570,0,,,6,0.954,0.0
28039,2020-10-07,180,0273,1,EN GEV,630,0,,,1,0.944,0.0
28247,2020-10-07,181,0274,1,KEFAR MENAHEM,1220,0,,,6,0.919,0.0
28455,2020-10-07,182,0276,1,ZUR MOSHE,3290,0,,,4,0.888,0.0
29161,2020-10-07,187,0284,1,SEDE WARBURG,1480,0,,,1,0.903,0.0
29592,2020-10-07,190,0287,1,TEL YIZHAQ,960,0,,,3,1.036,0.0
29985,2020-10-07,192,0289,1,EN HAMIFRAZ,1170,0,,,12,0.936,0.0
30590,2020-10-07,196,0294,1,ELON,950,0,,,1,0.903,0.0
30797,2020-10-07,197,0295,1,KEFAR RUPPIN,430,0,,,5,0.927,0.0
32656,2020-10-07,211,0310,1,KEFAR GLIKSON,270,0,,,1,0.927,0.0
34122,2020-10-07,220,0320,1,KEFAR WARBURG,1030,0,,,4,0.912,0.0
36039,2020-10-07,234,0339,1,RAMAT ZEVI,550,0,,,2,0.9,0.0
36937,2020-10-07,240,0346,1,GELIL YAM,430,0,,,4,0.924,0.0
37552,2020-10-07,244,0352,1,GEVULOT,270,0,,,8,0.925,0.0
38036,2020-10-07,248,0356,1,HAGOSHERIM,680,0,,,1,0.938,0.0
38401,2020-10-07,250,0358,1,YAD MORDEKHAY,670,0,,,4,0.936,0.0
39441,2020-10-07,256,0365,1,BET QESHET,480,0,,,6,0.89,0.0
39649,2020-10-07,257,0366,1,SHAMIR,910,0,,,12,0.909,0.0
40120,2020-10-07,260,0369,1,GAL'ED (EVEN YIZHAQ),420,0,,,4,0.916,0.0
40867,2020-10-07,266,0375,1,MAGGAL,990,0,,,6,0.87,0.0
41371,2020-10-07,269,0378,1,MISGAV AM,260,0,,,1,0.94,0.0
43149,2020-10-07,279,0390,1,REGBA,1040,0,,,2,0.936,0.0
43518,2020-10-07,282,0394,1,SHOVAL,650,0,,,1,0.927,0.0
43835,2020-10-07,284,0396,1,NEVATIM,700,0,,,1,0.915,0.0
44042,2020-10-07,285,0397,1,HAZERIM,770,0,,,6,0.951,0.0
44848,2020-10-07,290,0403,1,URIM,480,0,,,11,0.943,0.0
45656,2020-10-07,295,0409,1,YEHI'AM,400,0,,,1,0.91,0.0
46234,2020-10-07,300,0416,1,MA'YAN BARUKH,660,1,,,11,0.904,0.0
46559,2020-10-07,302,0418,1,BENE ZIYYON,1320,0,,,3,0.898,0.0
46765,2020-10-07,303,0419,1,SA'AD,760,0,,,4,0.943,0.0
47440,2020-10-07,307,0424,1,GEVIM,400,1,,,4,0.955,0.0
48322,2020-10-07,312,0429,1,ALLONE ABBA,920,0,,,2,0.876,0.0
48530,2020-10-07,313,0430,1,BET LEHEM HAGELILIT,770,0,,,8,0.928,0.0
48963,2020-10-07,316,0433,1,NAHSHOLIM,580,0,,,1,0.925,0.0
50653,2020-10-07,328,0447,1,NORDIYYA,2030,0,,,14,0.982,0.0
51042,2020-10-07,330,0449,1,NEHALIM,1640,0,,,6,0.941,0.0
52653,2020-10-07,339,0463,1,GA'TON,530,0,,,3,0.911,0.0
53136,2020-10-07,342,0466,1,BET DAGAN,7050,0,,,2,0.929,0.0
53344,2020-10-07,343,0469,1,QIRYAT EQRON,10500,0,,,6,0.933,0.0
53630,2020-10-07,345,0473,1,ABU SINAN,12600,0,,,1,0.921,0.0
54780,2020-10-07,354,0489,1,DABURIYYA,9450,0,,,1,0.925,0.0
54972,2020-10-07,356,0492,1,DEIR HANNA,9380,0,,,1,0.912,0.0
57012,2020-10-07,374,0517,1,MAZRA'A,3490,0,,,1,0.932,0.0
60572,2020-10-07,404,0559,1,BUSTAN HAGALIL,830,0,,,3,0.924,0.0
60780,2020-10-07,405,0562,1,BET EL'AZARI,1390,0,,,4,0.892,0.0
61273,2020-10-07,408,0565,1,AZOR,11700,0,,,2,0.918,0.0
63404,2020-10-07,422,0582,1,KEFAR HANAGID,1260,0,,,5,0.932,0.0
63913,2020-10-07,425,0586,1,MEGIDDO,810,0,,,1,0.9,0.0
64122,2020-10-07,426,0587,1,SAVYON,3340,0,,,4,0.915,0.0
64330,2020-10-07,427,0588,1,BENE RE'EM,1370,0,,,6,0.912,0.0
65034,2020-10-07,431,0592,1,BENE DAROM,560,0,,,1,0.946,0.0
65893,2020-10-07,436,0597,1,PALMAHIM,490,0,,,8,0.903,0.0
66667,2020-10-07,441,0604,1,BET ARIF,1070,0,,,9,0.894,0.0
67042,2020-10-07,444,0607,1,MERON,830,0,,,3,0.924,0.0
68533,2020-10-07,454,0619,1,BET GUVRIN,360,0,,,2,0.894,0.0
70796,2020-10-07,472,0662,1,HOSEN,910,0,,,3,0.904,0.0
71420,2020-10-07,476,0666,1,OMER,7200,0,,,10,0.941,0.0
71627,2020-10-07,477,0667,1,BAR'AM,570,0,,,11,0.956,0.0
71825,2020-10-07,478,0668,1,MEFALLESIM,920,0,,,1,0.934,0.0
72212,2020-10-07,480,0672,1,BET NEQOFA,580,0,,,5,0.918,0.0
72598,2020-10-07,482,0674,1,LIMAN,650,0,,,5,0.895,0.0
73013,2020-10-07,485,0677,1,HASOLELIM,820,0,,,3,0.919,0.0
73644,2020-10-07,489,0681,1,GIV'AT SHEMU'EL,23700,0,,,1,0.925,0.0
74460,2020-10-07,494,0686,1,NEWE YAMIN,1120,0,,,19,0.863,0.0
74920,2020-10-07,497,0689,1,MEGADIM,1190,0,,,15,0.878,0.0
75631,2020-10-07,501,0694,1,MA'AGAN MIKHA'EL,1730,0,,,2,0.93,0.0
78594,2020-10-07,520,0714,1,EREZ,480,0,,,8,0.933,0.0
80583,2020-10-07,533,0730,1,ELIFELET,560,0,,,12,0.942,0.0
80970,2020-10-07,535,0732,1,MISHMAR HAYARDEN,590,0,,,5,0.924,0.0
81363,2020-10-07,537,0735,1,RAMOT ME'IR,760,0,,,6,0.916,0.0
82587,2020-10-07,545,0743,1,KEFAR SHEMU'EL,830,0,,,1,0.894,0.0
85408,2020-10-07,565,0764,1,KEFAR MORDEKHAY,600,0,,,3,0.915,0.0
85617,2020-10-07,566,0765,1,MISGAV DOV,700,0,,,14,0.894,0.0
86323,2020-10-07,571,0771,1,MEVO BETAR,520,0,,,1,0.904,0.0
87780,2020-10-07,580,0780,1,ORA,1230,0,,,3,0.911,0.0
90220,2020-10-07,596,0799,1,ZEKHARYA,940,0,,,6,0.928,0.0
91289,2020-10-07,603,0806,1,EN YAHAV,670,0,,,6,0.904,0.0
91672,2020-10-07,605,0808,1,NIR ELIYYAHU,360,1,,,7,0.893,0.0
92428,2020-10-07,611,0814,1,TELAMIM,820,0,,,1,1.04,0.0
92993,2020-10-07,616,0819,1,AVIGEDOR,740,0,,,11,0.905,0.0
93753,2020-10-07,621,0824,1,KOKHAV MIKHA'EL,920,0,,,4,0.888,0.0
94248,2020-10-07,624,0827,1,NEWE MIVTAH,620,0,,,2,0.904,0.0
96272,2020-10-07,638,0845,1,KEFAR AZZA,660,0,,,2,0.936,0.0
97347,2020-10-07,645,0853,1,GE'ALYA,1010,0,,,2,0.927,0.0
99384,2020-10-07,658,0870,1,GIV'AT HASHELOSHA,740,0,,,2,0.909,0.0
99934,2020-10-07,662,0874,1,MIGDAL HAEMEQ,24450,1,,,13,0.91,0.0
101428,2020-10-07,676,0917,1,SEGEV,1030,0,,,27,1.013,0.0
102707,2020-10-07,695,1015,1,MEVASSERET ZIYYON,24470,0,,,48,0.939,0.5
102916,2020-10-07,696,1020,1,OR AQIVA,16200,0,,,1,0.927,0.0
103304,2020-10-07,698,1031,1,SEDEROT,21580,0,,,6,0.93,0.0
103510,2020-10-07,699,1034,1,QIRYAT MAL'AKHI,21210,0,,,2,0.935,0.0
