,date,id,area_id,is_city,city_name,population,num_reports,symptoms_ratio,symptoms_ratio_confidence,num_reports_weighted,symptoms_ratio_weighted,symptoms_ratio_confidence_weighted
651,2020-08-28,7,0016,1,BET NIR,530,0,,,2,0.796,0.0
1490,2020-08-28,13,0026,1,ROSH PINNA,2780,3,,,25,0.787,0.0
1728,2020-08-28,15,0028,1,MAZKERET BATYA,10680,1,,,4,0.76,0.0
2061,2020-08-28,17,0031,1,OFAQIM,24640,0,,,1,0.764,0.0
2298,2020-08-28,19,0033,1,BAT SHELOMO,550,2,,,8,0.756,0.0
2923,2020-08-28,25,0043,1,METULA,1560,2,,,24,0.758,0.0
3147,2020-08-28,27,0046,1,YAVNE'EL,3890,0,,,1,0.793,0.0
3315,2020-08-28,28,0047,1,KEFAR TAVOR,3220,0,,,13,0.781,0.0
3481,2020-08-28,29,0048,1,MENAHEMYA,1010,0,,,1,1.043,0.0
3880,2020-08-28,32,0053,1,ATLIT,6030,1,,,3,0.781,0.0
5048,2020-08-28,41,0066,1,MERHAVYA(QIBBUZ),1080,0,,,4,0.825,0.0
5458,2020-08-28,44,0070,1,ASHDOD,214890,6,,,51,0.804,0.5
5696,2020-08-28,46,0072,1,GAN SHEMU'EL,860,1,,,6,0.833,0.0
5956,2020-08-28,48,0076,1,KEFAR GIL'ADI,650,0,,,1,0.827,0.0
6123,2020-08-28,49,0077,1,AYYELET HASHAHAR,1570,1,,,5,0.834,0.0
6567,2020-08-28,52,0080,1,NAHALAL,920,1,,,6,0.785,0.0
7228,2020-08-28,57,0088,1,KEREM BEN SHEMEN,80,0,,,2,0.894,0.0
7527,2020-08-28,59,0090,1,HEFZI-BAH,440,1,,,3,0.817,0.0
7901,2020-08-28,62,0095,1,BET ALFA,1140,2,,,4,0.832,0.0
8069,2020-08-28,63,0096,1,YAGUR,1500,1,,,4,0.821,0.0
8308,2020-08-28,65,0098,1,KEFAR MALAL,330,0,,,1,0.815,0.0
8476,2020-08-28,66,0099,1,MIZPE RAMON,5060,0,,,3,0.745,0.0
8827,2020-08-28,69,0104,1,MIZRA,600,0,,,2,0.886,0.0
9461,2020-08-28,75,0122,1,RAMAT YISHAY,7200,2,,,23,0.786,0.0
9627,2020-08-28,76,0126,1,SARID,830,2,,,11,0.86,0.0
10033,2020-08-28,79,0130,1,MISHMAR HAEMEQ,1170,2,,,19,0.795,0.0
10485,2020-08-28,82,0134,1,YIF'AT,970,3,,,5,0.797,0.0
10653,2020-08-28,83,0135,1,RAMAT DAWID,380,1,,,4,0.786,0.0
10818,2020-08-28,84,0139,1,EN SHEMER,560,2,,,10,0.815,0.0
11149,2020-08-28,87,0142,1,SEDE YA'AQOV,1240,0,,,2,0.766,0.0
11444,2020-08-28,89,0144,1,GAN SHELOMO,470,0,,,3,0.796,0.0
11762,2020-08-28,92,0147,1,GIV'AT BRENNER,2560,4,,,28,0.795,0.0
11931,2020-08-28,93,0154,1,TEL MOND,11020,4,,,40,0.755,0.5
12346,2020-08-28,96,0157,1,EN WERED,1370,3,,,18,0.779,0.0
12514,2020-08-28,97,0158,1,NA'AN,1440,0,,,4,0.793,0.0
12845,2020-08-28,99,0160,1,HULDA,500,1,,,6,0.784,0.0
13526,2020-08-28,104,0166,1,GAN YAVNE,20700,4,,,51,0.768,0.5
13695,2020-08-28,105,0167,1,EN HAHORESH,730,1,,,3,0.85,0.0
13863,2020-08-28,106,0168,1,KEFAR YONA,19960,5,,,45,0.75,0.5
14133,2020-08-28,108,0171,1,PARDESIYYA,5480,0,,,3,0.788,0.0
14776,2020-08-28,112,0176,1,AFIQIM,1440,2,,,10,0.822,0.0
14945,2020-08-28,113,0177,1,KEFAR BILU,1240,1,,,6,0.805,0.0
15225,2020-08-28,115,0182,1,EVEN YEHUDA,12410,3,,,35,0.798,0.0
15551,2020-08-28,117,0184,1,RAMAT HAKOVESH,960,0,,,9,0.799,0.0
16448,2020-08-28,124,0192,1,KEFAR HAHORESH,560,2,,,10,0.782,0.0
16915,2020-08-28,127,0195,1,QADIMA-ZORAN,17960,3,,,31,0.754,0.0
17237,2020-08-28,129,0197,1,MA'BAROT,920,0,,,2,0.822,0.0
17683,2020-08-28,132,0200,1,BET YANNAY,420,0,,,2,0.798,0.0
17852,2020-08-28,133,0202,1,BET OVED,270,0,,,21,0.859,0.0
18095,2020-08-28,135,0205,1,HOGLA,800,0,,,1,0.774,0.0
20056,2020-08-28,148,0229,1,GANNE TIQWA,14260,3,,,19,0.818,0.0
20223,2020-08-28,149,0230,1,MA'AS,780,4,,,23,0.791,0.0
20391,2020-08-28,150,0232,1,SHEFAYIM,1140,1,,,6,0.769,0.0
21152,2020-08-28,155,0239,1,GAN HAYYIM,830,1,,,10,0.782,0.0
21321,2020-08-28,156,0240,1,YOQNE'AM ILLIT,20260,1,,,14,0.778,0.0
21490,2020-08-28,157,0241,1,YOQNE'AM(MOSHAVA),1300,2,,,10,0.803,0.0
