,date,id,area_id,is_city,city_name,population,num_reports,symptoms_ratio,symptoms_ratio_confidence,num_reports_weighted,symptoms_ratio_weighted,symptoms_ratio_confidence_weighted
672,2020-09-09,7,0016,1,BET NIR,530,0,,,3,0.799,0.0
1549,2020-09-09,13,0026,1,ROSH PINNA,2780,0,,,23,0.776,0.0
1799,2020-09-09,15,0028,1,MAZKERET BATYA,10680,0,,,6,0.759,0.0
2156,2020-09-09,17,0031,1,OFAQIM,24640,0,,,2,0.763,0.0
2406,2020-09-09,19,0033,1,BAT SHELOMO,550,0,,,6,0.754,0.0
3055,2020-09-09,25,0043,1,METULA,1560,0,,,12,0.768,0.0
3469,2020-09-09,28,0047,1,KEFAR TAVOR,3220,0,,,10,0.778,0.0
3647,2020-09-09,29,0048,1,MENAHEMYA,1010,0,,,1,1.041,0.0
4069,2020-09-09,32,0053,1,ATLIT,6030,0,,,1,0.778,0.0
5289,2020-09-09,41,0066,1,MERHAVYA(QIBBUZ),1080,0,,,3,0.845,0.0
5711,2020-09-09,44,0070,1,ASHDOD,214890,0,,,45,0.782,0.5
5961,2020-09-09,46,0072,1,GAN SHEMU'EL,860,0,,,3,0.834,0.0
6415,2020-09-09,49,0077,1,AYYELET HASHAHAR,1570,0,,,4,0.839,0.0
6883,2020-09-09,52,0080,1,NAHALAL,920,0,,,6,0.787,0.0
7570,2020-09-09,57,0088,1,KEREM BEN SHEMEN,80,0,,,1,0.902,0.0
7880,2020-09-09,59,0090,1,HEFZI-BAH,440,0,,,1,0.823,0.0
8444,2020-09-09,63,0096,1,YAGUR,1500,0,,,2,0.818,0.0
8695,2020-09-09,65,0098,1,KEFAR MALAL,330,0,,,2,0.815,0.0
8875,2020-09-09,66,0099,1,MIZPE RAMON,5060,0,,,2,0.745,0.0
9245,2020-09-09,69,0104,1,MIZRA,600,0,,,2,0.9,0.0
9913,2020-09-09,75,0122,1,RAMAT YISHAY,7200,0,,,13,0.794,0.0
10091,2020-09-09,76,0126,1,SARID,830,0,,,4,0.87,0.0
10521,2020-09-09,79,0130,1,MISHMAR HAEMEQ,1170,0,,,17,0.794,0.0
11176,2020-09-09,83,0135,1,RAMAT DAWID,380,0,,,2,0.794,0.0
11353,2020-09-09,84,0139,1,EN SHEMER,560,0,,,13,0.812,0.0
11999,2020-09-09,89,0144,1,GAN SHELOMO,470,0,,,2,0.799,0.0
12329,2020-09-09,92,0147,1,GIV'AT BRENNER,2560,0,,,19,0.792,0.0
12510,2020-09-09,93,0154,1,TEL MOND,11020,0,,,49,0.754,0.5
12950,2020-09-09,96,0157,1,EN WERED,1370,0,,,8,0.787,0.0
13130,2020-09-09,97,0158,1,NA'AN,1440,0,,,2,0.801,0.0
13485,2020-09-09,99,0160,1,HULDA,500,0,,,6,0.781,0.0
14202,2020-09-09,104,0166,1,GAN YAVNE,20700,2,,,41,0.731,0.5
14383,2020-09-09,105,0167,1,EN HAHORESH,730,0,,,2,0.852,0.0
14563,2020-09-09,106,0168,1,KEFAR YONA,19960,0,,,23,0.748,0.0
14845,2020-09-09,108,0171,1,PARDESIYYA,5480,0,,,3,0.784,0.0
15535,2020-09-09,112,0176,1,AFIQIM,1440,0,,,8,0.822,0.0
15716,2020-09-09,113,0177,1,KEFAR BILU,1240,0,,,6,0.808,0.0
16008,2020-09-09,115,0182,1,EVEN YEHUDA,12410,0,,,20,0.796,0.0
16346,2020-09-09,117,0184,1,RAMAT HAKOVESH,960,0,,,7,0.796,0.0
16769,2020-09-09,121,0189,1,KEFAR PINES,950,0,,,1,0.785,0.0
17298,2020-09-09,124,0192,1,KEFAR HAHORESH,560,0,,,10,0.783,0.0
17801,2020-09-09,127,0195,1,QADIMA-ZORAN,17960,3,,,27,0.747,0.0
18147,2020-09-09,129,0197,1,MA'BAROT,920,0,,,3,0.822,0.0
18790,2020-09-09,133,0202,1,BET OVED,270,0,,,10,0.852,0.0
19396,2020-09-09,137,0207,1,GIV'AT HEN,390,0,,,1,0.837,0.0
19943,2020-09-09,141,0217,1,KEFAR HARO'E,1250,0,,,1,0.78,0.0
20799,2020-09-09,146,0224,1,SHOSHANNAT HAAMAQIM,550,0,,,1,0.797,0.0
21154,2020-09-09,148,0229,1,GANNE TIQWA,14260,0,,,20,0.816,0.0
21333,2020-09-09,149,0230,1,MA'AS,780,0,,,16,0.8,0.0
21513,2020-09-09,150,0232,1,SHEFAYIM,1140,0,,,6,0.769,0.0
22323,2020-09-09,155,0239,1,GAN HAYYIM,830,0,,,5,0.783,0.0
22504,2020-09-09,156,0240,1,YOQNE'AM ILLIT,20260,0,,,19,0.815,0.0
22685,2020-09-09,157,0241,1,YOQNE'AM(MOSHAVA),1300,0,,,8,0.804,0.0
23022,2020-09-09,159,0246,1,NETIVOT,28710,0,,,1,0.741,0.0
23724,2020-09-09,163,0250,1,HAZOREA,860,0,,,2,0.848,0.0
23894,2020-09-09,164,0252,1,BITAN AHARON,390,0,,,3,0.809,0.0
24074,2020-09-09,165,0253,1,HULATA,530,0,,,10,0.815,0.0
25182,2020-09-09,173,0264,1,SHA'AR HAGOLAN,570,0,,,4,0.875,0.0
26284,2020-09-09,181,0274,1,KEFAR MENAHEM,1220,0,,,5,0.779,0.0
26464,2020-09-09,182,0276,1,ZUR MOSHE,3290,0,,,9,0.802,0.0
26949,2020-09-09,186,0282,1,SHAVE ZIYYON,970,0,,,1,0.802,0.0
27129,2020-09-09,187,0284,1,SEDE WARBURG,1480,0,,,5,0.782,0.0
27532,2020-09-09,190,0287,1,TEL YIZHAQ,960,0,,,7,1.031,0.0
27712,2020-09-09,191,0288,1,BET YEHOSHUA,1000,0,,,4,0.777,0.0
27893,2020-09-09,192,0289,1,EN HAMIFRAZ,1170,0,,,12,0.837,0.0
28463,2020-09-09,196,0294,1,ELON,950,0,,,1,0.794,0.0
28641,2020-09-09,197,0295,1,KEFAR RUPPIN,430,0,,,6,0.802,0.0
30427,2020-09-09,211,0310,1,KEFAR GLIKSON,270,0,,,2,0.816,0.0
31276,2020-09-09,216,0316,1,KEFAR NETTER,1100,0,,,3,0.764,0.0
31804,2020-09-09,220,0320,1,KEFAR WARBURG,1030,0,,,7,0.775,0.0
33267,2020-09-09,231,0335,1,RAMAT HASHOFET,880,0,,,3,0.779,0.0
33650,2020-09-09,234,0339,1,RAMAT ZEVI,550,0,,,2,0.781,0.0
34483,2020-09-09,240,0346,1,GELIL YAM,430,0,,,5,0.785,0.0
35062,2020-09-09,244,0352,1,GEVULOT,270,0,,,4,0.799,0.0
35854,2020-09-09,250,0358,1,YAD MORDEKHAY,670,0,,,7,0.819,0.0
36001,2020-09-09,251,0359,1,NIZZANIM,400,0,,,1,0.849,0.0
36829,2020-09-09,256,0365,1,BET QESHET,480,0,,,2,0.799,0.0
37009,2020-09-09,257,0366,1,SHAMIR,910,0,,,16,0.767,0.0
37452,2020-09-09,260,0369,1,GAL'ED (EVEN YIZHAQ),420,0,,,5,0.79,0.0
38160,2020-09-09,266,0375,1,MAGGAL,990,0,,,5,0.772,0.0
38631,2020-09-09,269,0378,1,MISGAV AM,260,0,,,2,0.759,0.0
39315,2020-09-09,273,0383,1,EN HANAZIV,600,0,,,12,0.797,0.0
40324,2020-09-09,279,0390,1,REGBA,1040,0,,,3,0.823,0.0
41163,2020-09-09,285,0397,1,HAZERIM,770,0,,,3,0.812,0.0
41920,2020-09-09,290,0403,1,URIM,480,0,,,12,0.815,0.0
42276,2020-09-09,292,0406,1,HAZOR-ASHDOD,510,0,,,1,0.82,0.0
42687,2020-09-09,295,0409,1,YEHI'AM,400,0,,,1,0.794,0.0
43229,2020-09-09,300,0416,1,MA'YAN BARUKH,660,0,,,7,0.771,0.0
43526,2020-09-09,302,0418,1,BENE ZIYYON,1320,0,,,3,0.778,0.0
43705,2020-09-09,303,0419,1,SA'AD,760,0,,,4,0.801,0.0
44336,2020-09-09,307,0424,1,GEVIM,400,0,,,4,0.776,0.0
44692,2020-09-09,309,0426,1,EN KARMEL,790,0,,,2,0.773,0.0
44973,2020-09-09,311,0428,1,BEROR HAYIL,800,0,,,2,0.828,0.0
45154,2020-09-09,312,0429,1,ALLONE ABBA,920,0,,,1,0.76,0.0
45334,2020-09-09,313,0430,1,BET LEHEM HAGELILIT,770,0,,,8,0.798,0.0
45739,2020-09-09,316,0433,1,NAHSHOLIM,580,0,,,3,0.808,0.0
45917,2020-09-09,317,0434,1,HAHOTERIM,640,0,,,2,0.779,0.0
46840,2020-09-09,325,0444,1,REGAVIM,300,0,,,11,0.809,0.0
47359,2020-09-09,328,0447,1,NORDIYYA,2030,0,,,10,0.92,0.0
47538,2020-09-09,329,0448,1,BENE ATAROT,920,0,,,1,0.786,0.0
47716,2020-09-09,330,0449,1,NEHALIM,1640,0,,,7,0.779,0.0
47896,2020-09-09,331,0450,1,BE'EROT YIZHAQ,390,0,,,3,0.806,0.0
48421,2020-09-09,334,0454,1,SA'AR,700,0,,,1,0.793,0.0
48599,2020-09-09,335,0456,1,SHORESH,760,0,,,1,1.007,0.0
49241,2020-09-09,339,0463,1,GA'TON,530,0,,,4,0.793,0.0
49500,2020-09-09,341,0465,1,ZOVA,600,0,,,1,0.801,0.0
49679,2020-09-09,342,0466,1,BET DAGAN,7050,0,,,3,0.786,0.0
49859,2020-09-09,343,0469,1,QIRYAT EQRON,10500,0,,,8,0.787,0.0
50604,2020-09-09,349,0481,1,MUGHAR,20710,0,,,1,0.727,0.0
51594,2020-09-09,358,0494,1,DALIYAT AL KARMEL,16040,0,,,1,0.748,0.0
53630,2020-09-09,377,0521,1,EIN NAQQUBA,2640,0,,,1,0.702,0.0
55465,2020-09-09,393,0538,1,SHA'AB,6260,1,,,1,0.722,0.0
56807,2020-09-09,404,0559,1,BUSTAN HAGALIL,830,0,,,1,0.781,0.0
56986,2020-09-09,405,0562,1,BET EL'AZARI,1390,0,,,4,0.772,0.0
57451,2020-09-09,408,0565,1,AZOR,11700,0,,,6,0.794,0.0
