,date,id,area_id,is_city,city_name,population,num_reports,symptoms_ratio,symptoms_ratio_confidence,num_reports_weighted,symptoms_ratio_weighted,symptoms_ratio_confidence_weighted
298,2020-09-03,4,0011,1,NIR HEN,470,0,,,1,0.831,0.0
665,2020-09-03,7,0016,1,BET NIR,530,0,,,7,0.816,0.0
951,2020-09-03,9,0021,1,BE'ER ORA,350,0,,,3,0.792,0.0
1359,2020-09-03,12,0024,1,LAKHISH,700,0,,,2,0.822,0.0
1532,2020-09-03,13,0026,1,ROSH PINNA,2780,4,,,42,0.835,0.5
1776,2020-09-03,15,0028,1,MAZKERET BATYA,10680,0,,,46,0.753,0.5
1951,2020-09-03,16,0029,1,YESUD HAMA'ALA,1580,0,,,4,0.828,0.0
2125,2020-09-03,17,0031,1,OFAQIM,24640,1,,,15,0.774,0.0
2369,2020-09-03,19,0033,1,BAT SHELOMO,550,2,,,12,0.78,0.0
2837,2020-09-03,24,0041,1,ELYAKHIN,3230,0,,,2,0.826,0.0
3010,2020-09-03,25,0043,1,METULA,1560,1,,,21,0.794,0.0
3242,2020-09-03,27,0046,1,YAVNE'EL,3890,0,,,2,0.824,0.0
3416,2020-09-03,28,0047,1,KEFAR TAVOR,3220,1,,,20,0.83,0.0
3588,2020-09-03,29,0048,1,MENAHEMYA,1010,0,,,3,0.906,0.0
3829,2020-09-03,31,0052,1,LUZIT,490,0,,,2,0.796,0.0
4003,2020-09-03,32,0053,1,ATLIT,6030,0,,,34,0.803,0.0
4160,2020-09-03,33,0055,1,NOGAH,500,0,,,2,0.842,0.0
4889,2020-09-03,39,0064,1,YAD RAMBAM,1010,0,,,2,0.859,0.0
5037,2020-09-03,40,0065,1,MIGDAL,1740,0,,,1,0.962,0.0
5211,2020-09-03,41,0066,1,MERHAVYA(QIBBUZ),1080,0,,,3,0.8,0.0
5627,2020-09-03,44,0070,1,ASHDOD,214890,6,,,277,0.861,1.0
5871,2020-09-03,46,0072,1,GAN SHEMU'EL,860,0,,,3,0.84,0.0
6044,2020-09-03,47,0074,1,EN HOD,550,0,,,3,0.839,0.0
6317,2020-09-03,49,0077,1,AYYELET HASHAHAR,1570,0,,,3,0.837,0.0
6603,2020-09-03,51,0079,1,DEGANYA BET,620,0,,,2,0.85,0.0
6777,2020-09-03,52,0080,1,NAHALAL,920,1,,,10,0.803,0.0
7093,2020-09-03,54,0084,1,TEL YOSEF,510,0,,,2,0.841,0.0
7456,2020-09-03,57,0088,1,KEREM BEN SHEMEN,80,1,,,1,0.888,0.0
