,date,id,area_id,is_city,city_name,population,num_reports,symptoms_ratio,symptoms_ratio_confidence,num_reports_weighted,symptoms_ratio_weighted,symptoms_ratio_confidence_weighted
690,2020-09-18,7,0016,1,BET NIR,530,0,,,3,0.861,0.0
1599,2020-09-18,13,0026,1,ROSH PINNA,2780,3,,,25,0.841,0.0
1858,2020-09-18,15,0028,1,MAZKERET BATYA,10680,0,,,7,0.819,0.0
2232,2020-09-18,17,0031,1,OFAQIM,24640,0,,,1,0.836,0.0
2498,2020-09-18,19,0033,1,BAT SHELOMO,550,0,,,4,0.827,0.0
3169,2020-09-18,25,0043,1,METULA,1560,0,,,14,0.827,0.0
3594,2020-09-18,28,0047,1,KEFAR TAVOR,3220,2,,,11,0.842,0.0
3780,2020-09-18,29,0048,1,MENAHEMYA,1010,0,,,1,1.105,0.0
4218,2020-09-18,32,0053,1,ATLIT,6030,0,,,1,0.847,0.0
4943,2020-09-18,38,0063,1,KINNERET(MOSHAVA),620,1,,,1,0.872,0.0
5128,2020-09-18,39,0064,1,YAD RAMBAM,1010,1,,,1,0.846,0.0
5467,2020-09-18,41,0066,1,MERHAVYA(QIBBUZ),1080,0,,,1,0.862,0.0
5898,2020-09-18,44,0070,1,ASHDOD,214890,6,,,53,0.814,0.5
6621,2020-09-18,49,0077,1,AYYELET HASHAHAR,1570,1,,,3,0.893,0.0
7106,2020-09-18,52,0080,1,NAHALAL,920,1,,,6,0.848,0.0
7706,2020-09-18,56,0086,1,GEVA,630,0,,,1,0.877,0.0
8134,2020-09-18,59,0090,1,HEFZI-BAH,440,0,,,2,0.88,0.0
8707,2020-09-18,63,0096,1,YAGUR,1500,0,,,2,0.878,0.0
9149,2020-09-18,66,0099,1,MIZPE RAMON,5060,1,,,6,0.805,0.0
9351,2020-09-18,68,0103,1,TEL ADASHIM,1310,0,,,1,0.839,0.0
10227,2020-09-18,75,0122,1,RAMAT YISHAY,7200,2,,,11,0.85,0.0
10856,2020-09-18,79,0130,1,MISHMAR HAEMEQ,1170,3,,,20,0.853,0.0
11728,2020-09-18,84,0139,1,EN SHEMER,560,0,,,8,0.872,0.0
12391,2020-09-18,89,0144,1,GAN SHELOMO,470,0,,,2,0.861,0.0
12730,2020-09-18,92,0147,1,GIV'AT BRENNER,2560,0,,,20,0.854,0.0
12920,2020-09-18,93,0154,1,TEL MOND,11020,4,,,47,0.831,0.5
13377,2020-09-18,96,0157,1,EN WERED,1370,1,,,15,0.837,0.0
13566,2020-09-18,97,0158,1,NA'AN,1440,1,,,4,0.879,0.0
13938,2020-09-18,99,0160,1,HULDA,500,0,,,7,0.845,0.0
14680,2020-09-18,104,0166,1,GAN YAVNE,20700,5,,,49,0.791,0.5
14870,2020-09-18,105,0167,1,EN HAHORESH,730,0,,,2,0.904,0.0
15059,2020-09-18,106,0168,1,KEFAR YONA,19960,6,,,31,0.831,0.0
15350,2020-09-18,108,0171,1,PARDESIYYA,5480,0,,,4,0.849,0.0
16074,2020-09-18,112,0176,1,AFIQIM,1440,0,,,10,0.878,0.0
16264,2020-09-18,113,0177,1,KEFAR BILU,1240,1,,,6,0.867,0.0
16565,2020-09-18,115,0182,1,EVEN YEHUDA,12410,5,,,26,0.897,0.0
16924,2020-09-18,117,0184,1,RAMAT HAKOVESH,960,0,,,2,0.861,0.0
17718,2020-09-18,123,0191,1,HADAR AM,520,0,,,2,0.914,0.0
17907,2020-09-18,124,0192,1,KEFAR HAHORESH,560,2,,,13,0.831,0.0
18427,2020-09-18,127,0195,1,QADIMA-ZORAN,17960,2,,,24,0.848,0.0
18788,2020-09-18,129,0197,1,MA'BAROT,920,0,,,2,0.881,0.0
18976,2020-09-18,130,0198,1,ZOFIT,1280,0,,,1,0.9,0.0
19452,2020-09-18,133,0202,1,BET OVED,270,0,,,8,0.903,0.0
21907,2020-09-18,148,0229,1,GANNE TIQWA,14260,1,,,16,0.868,0.0
22095,2020-09-18,149,0230,1,MA'AS,780,2,,,17,0.849,0.0
22284,2020-09-18,150,0232,1,SHEFAYIM,1140,1,,,6,0.832,0.0
23125,2020-09-18,155,0239,1,GAN HAYYIM,830,1,,,8,0.831,0.0
23315,2020-09-18,156,0240,1,YOQNE'AM ILLIT,20260,2,,,15,0.849,0.0
23505,2020-09-18,157,0241,1,YOQNE'AM(MOSHAVA),1300,0,,,11,0.861,0.0
23851,2020-09-18,159,0246,1,NETIVOT,28710,0,,,2,0.813,0.0
24401,2020-09-18,162,0249,1,KEFAR SIRKIN,1290,0,,,2,0.861,0.0
24765,2020-09-18,164,0252,1,BITAN AHARON,390,0,,,2,0.871,0.0
24954,2020-09-18,165,0253,1,HULATA,530,2,,,10,0.874,0.0
26098,2020-09-18,173,0264,1,SHA'AR HAGOLAN,570,1,,,7,0.913,0.0
27245,2020-09-18,181,0274,1,KEFAR MENAHEM,1220,1,,,8,0.846,0.0
27434,2020-09-18,182,0276,1,ZUR MOSHE,3290,2,,,11,0.821,0.0
27937,2020-09-18,186,0282,1,SHAVE ZIYYON,970,0,,,1,0.863,0.0
28126,2020-09-18,187,0284,1,SEDE WARBURG,1480,1,,,4,0.843,0.0
28538,2020-09-18,190,0287,1,TEL YIZHAQ,960,0,,,3,1.047,0.0
28912,2020-09-18,192,0289,1,EN HAMIFRAZ,1170,2,,,14,0.889,0.0
29509,2020-09-18,196,0294,1,ELON,950,0,,,1,0.856,0.0
29697,2020-09-18,197,0295,1,KEFAR RUPPIN,430,0,,,6,0.866,0.0
31360,2020-09-18,210,0309,1,NEHORA,1120,0,,,1,0.821,0.0
31536,2020-09-18,211,0310,1,KEFAR GLIKSON,270,1,,,1,0.873,0.0
32423,2020-09-18,216,0316,1,KEFAR NETTER,1100,0,,,2,0.836,0.0
32967,2020-09-18,220,0320,1,KEFAR WARBURG,1030,1,,,8,0.846,0.0
34865,2020-09-18,234,0339,1,RAMAT ZEVI,550,0,,,3,0.84,0.0
35730,2020-09-18,240,0346,1,GELIL YAM,430,1,,,5,0.849,0.0
36325,2020-09-18,244,0352,1,GEVULOT,270,2,,,8,0.861,0.0
37148,2020-09-18,250,0358,1,YAD MORDEKHAY,670,1,,,19,0.858,0.0
37304,2020-09-18,251,0359,1,NIZZANIM,400,0,,,1,0.901,0.0
38162,2020-09-18,256,0365,1,BET QESHET,480,0,,,2,0.86,0.0
38350,2020-09-18,257,0366,1,SHAMIR,910,2,,,19,0.817,0.0
38802,2020-09-18,260,0369,1,GAL'ED (EVEN YIZHAQ),420,0,,,8,0.858,0.0
39530,2020-09-18,266,0375,1,MAGGAL,990,1,,,8,0.833,0.0
40016,2020-09-18,269,0378,1,MISGAV AM,260,0,,,1,0.833,0.0
40732,2020-09-18,273,0383,1,EN HANAZIV,600,0,,,8,0.859,0.0
41774,2020-09-18,279,0390,1,REGBA,1040,1,,,2,0.924,0.0
42636,2020-09-18,285,0397,1,HAZERIM,770,1,,,6,0.88,0.0
43423,2020-09-18,290,0403,1,URIM,480,2,,,13,0.87,0.0
