,date,id,area_id,is_city,city_name,population,num_reports,symptoms_ratio,symptoms_ratio_confidence,num_reports_weighted,symptoms_ratio_weighted,symptoms_ratio_confidence_weighted
670,2020-09-07,7,0016,1,BET NIR,530,0,,,3,0.801,0.0
1545,2020-09-07,13,0026,1,ROSH PINNA,2780,0,,,24,0.782,0.0
1793,2020-09-07,15,0028,1,MAZKERET BATYA,10680,0,,,5,0.76,0.0
2148,2020-09-07,17,0031,1,OFAQIM,24640,0,,,1,0.774,0.0
2396,2020-09-07,19,0033,1,BAT SHELOMO,550,0,,,6,0.759,0.0
3043,2020-09-07,25,0043,1,METULA,1560,0,,,11,0.779,0.0
3455,2020-09-07,28,0047,1,KEFAR TAVOR,3220,0,,,11,0.782,0.0
5266,2020-09-07,41,0066,1,MERHAVYA(QIBBUZ),1080,0,,,2,0.845,0.0
5686,2020-09-07,44,0070,1,ASHDOD,214890,2,,,48,0.786,0.5
5934,2020-09-07,46,0072,1,GAN SHEMU'EL,860,0,,,3,0.837,0.0
6386,2020-09-07,49,0077,1,AYYELET HASHAHAR,1570,0,,,3,0.84,0.0
6852,2020-09-07,52,0080,1,NAHALAL,920,0,,,6,0.79,0.0
7537,2020-09-07,57,0088,1,KEREM BEN SHEMEN,80,0,,,1,0.9,0.0
7846,2020-09-07,59,0090,1,HEFZI-BAH,440,0,,,3,0.822,0.0
8230,2020-09-07,62,0095,1,BET ALFA,1140,0,,,2,0.845,0.0
8408,2020-09-07,63,0096,1,YAGUR,1500,0,,,3,0.825,0.0
8657,2020-09-07,65,0098,1,KEFAR MALAL,330,0,,,2,0.818,0.0
9201,2020-09-07,69,0104,1,MIZRA,600,0,,,1,0.898,0.0
9867,2020-09-07,75,0122,1,RAMAT YISHAY,7200,0,,,12,0.798,0.0
10043,2020-09-07,76,0126,1,SARID,830,0,,,8,0.868,0.0
10471,2020-09-07,79,0130,1,MISHMAR HAEMEQ,1170,2,,,19,0.797,0.0
11124,2020-09-07,83,0135,1,RAMAT DAWID,380,0,,,3,0.792,0.0
11299,2020-09-07,84,0139,1,EN SHEMER,560,0,,,13,0.816,0.0
11943,2020-09-07,89,0144,1,GAN SHELOMO,470,0,,,1,0.805,0.0
12271,2020-09-07,92,0147,1,GIV'AT BRENNER,2560,0,,,34,0.784,0.0
12450,2020-09-07,93,0154,1,TEL MOND,11020,0,,,49,0.76,0.5
12888,2020-09-07,96,0157,1,EN WERED,1370,0,,,10,0.787,0.0
13066,2020-09-07,97,0158,1,NA'AN,1440,0,,,3,0.799,0.0
13419,2020-09-07,99,0160,1,HULDA,500,0,,,6,0.781,0.0
14134,2020-09-07,104,0166,1,GAN YAVNE,20700,1,,,37,0.755,0.0
14313,2020-09-07,105,0167,1,EN HAHORESH,730,0,,,2,0.853,0.0
14491,2020-09-07,106,0168,1,KEFAR YONA,19960,1,,,27,0.763,0.0
14771,2020-09-07,108,0171,1,PARDESIYYA,5480,0,,,3,0.789,0.0
15459,2020-09-07,112,0176,1,AFIQIM,1440,0,,,7,0.828,0.0
15638,2020-09-07,113,0177,1,KEFAR BILU,1240,0,,,6,0.811,0.0
15928,2020-09-07,115,0182,1,EVEN YEHUDA,12410,0,,,25,0.803,0.0
16264,2020-09-07,117,0184,1,RAMAT HAKOVESH,960,0,,,3,0.802,0.0
16457,2020-09-07,119,0187,1,KEFAR HESS,1520,0,,,1,0.786,0.0
16685,2020-09-07,121,0189,1,KEFAR PINES,950,1,,,1,0.79,0.0
17212,2020-09-07,124,0192,1,KEFAR HAHORESH,560,0,,,10,0.789,0.0
17713,2020-09-07,127,0195,1,QADIMA-ZORAN,17960,3,,,29,0.75,0.0
18057,2020-09-07,129,0197,1,MA'BAROT,920,0,,,2,0.826,0.0
18698,2020-09-07,133,0202,1,BET OVED,270,0,,,10,0.852,0.0
19302,2020-09-07,137,0207,1,GIV'AT HEN,390,0,,,1,0.838,0.0
19847,2020-09-07,141,0217,1,KEFAR HARO'E,1250,0,,,1,0.784,0.0
21052,2020-09-07,148,0229,1,GANNE TIQWA,14260,0,,,15,0.821,0.0
21229,2020-09-07,149,0230,1,MA'AS,780,0,,,14,0.801,0.0
21407,2020-09-07,150,0232,1,SHEFAYIM,1140,0,,,6,0.772,0.0
22215,2020-09-07,155,0239,1,GAN HAYYIM,830,0,,,5,0.791,0.0
22394,2020-09-07,156,0240,1,YOQNE'AM ILLIT,20260,0,,,20,0.843,0.0
22573,2020-09-07,157,0241,1,YOQNE'AM(MOSHAVA),1300,0,,,9,0.804,0.0
22908,2020-09-07,159,0246,1,NETIVOT,28710,0,,,1,0.748,0.0
23608,2020-09-07,163,0250,1,HAZOREA,860,0,,,2,0.85,0.0
23776,2020-09-07,164,0252,1,BITAN AHARON,390,0,,,2,0.813,0.0
23954,2020-09-07,165,0253,1,HULATA,530,0,,,12,0.818,0.0
25060,2020-09-07,173,0264,1,SHA'AR HAGOLAN,570,0,,,4,0.875,0.0
26160,2020-09-07,181,0274,1,KEFAR MENAHEM,1220,0,,,4,0.781,0.0
26338,2020-09-07,182,0276,1,ZUR MOSHE,3290,0,,,9,0.837,0.0
26821,2020-09-07,186,0282,1,SHAVE ZIYYON,970,0,,,1,0.804,0.0
26998,2020-09-07,187,0284,1,SEDE WARBURG,1480,0,,,5,0.784,0.0
27399,2020-09-07,190,0287,1,TEL YIZHAQ,960,0,,,8,1.021,0.0
27577,2020-09-07,191,0288,1,BET YEHOSHUA,1000,0,,,8,0.777,0.0
27756,2020-09-07,192,0289,1,EN HAMIFRAZ,1170,0,,,12,0.838,0.0
28324,2020-09-07,196,0294,1,ELON,950,0,,,1,0.796,0.0
28501,2020-09-07,197,0295,1,KEFAR RUPPIN,430,0,,,6,0.806,0.0
30285,2020-09-07,211,0310,1,KEFAR GLIKSON,270,0,,,1,0.815,0.0
31132,2020-09-07,216,0316,1,KEFAR NETTER,1100,0,,,2,0.769,0.0
31658,2020-09-07,220,0320,1,KEFAR WARBURG,1030,0,,,7,0.778,0.0
33119,2020-09-07,231,0335,1,RAMAT HASHOFET,880,0,,,2,0.783,0.0
33500,2020-09-07,234,0339,1,RAMAT ZEVI,550,0,,,2,0.784,0.0
34331,2020-09-07,240,0346,1,GELIL YAM,430,0,,,3,0.794,0.0
34908,2020-09-07,244,0352,1,GEVULOT,270,0,,,2,0.803,0.0
35698,2020-09-07,250,0358,1,YAD MORDEKHAY,670,0,,,7,0.819,0.0
36668,2020-09-07,256,0365,1,BET QESHET,480,0,,,4,0.797,0.0
36846,2020-09-07,257,0366,1,SHAMIR,910,0,,,15,0.773,0.0
37287,2020-09-07,260,0369,1,GAL'ED (EVEN YIZHAQ),420,0,,,5,0.794,0.0
37993,2020-09-07,266,0375,1,MAGGAL,990,0,,,4,0.775,0.0
38462,2020-09-07,269,0378,1,MISGAV AM,260,0,,,3,0.764,0.0
39144,2020-09-07,273,0383,1,EN HANAZIV,600,0,,,12,0.802,0.0
40151,2020-09-07,279,0390,1,REGBA,1040,0,,,2,0.829,0.0
40988,2020-09-07,285,0397,1,HAZERIM,770,0,,,5,0.821,0.0
41743,2020-09-07,290,0403,1,URIM,480,0,,,13,0.817,0.0
42097,2020-09-07,292,0406,1,HAZOR-ASHDOD,510,0,,,1,0.822,0.0
43046,2020-09-07,300,0416,1,MA'YAN BARUKH,660,0,,,8,0.775,0.0
43341,2020-09-07,302,0418,1,BENE ZIYYON,1320,0,,,2,0.784,0.0
43518,2020-09-07,303,0419,1,SA'AD,760,0,,,4,0.806,0.0
44147,2020-09-07,307,0424,1,GEVIM,400,0,,,3,0.779,0.0
44778,2020-09-07,311,0428,1,BEROR HAYIL,800,0,,,1,0.818,0.0
44957,2020-09-07,312,0429,1,ALLONE ABBA,920,0,,,2,0.759,0.0
45135,2020-09-07,313,0430,1,BET LEHEM HAGELILIT,770,0,,,6,0.801,0.0
45538,2020-09-07,316,0433,1,NAHSHOLIM,580,0,,,2,0.81,0.0
45714,2020-09-07,317,0434,1,HAHOTERIM,640,0,,,3,0.779,0.0
46635,2020-09-07,325,0444,1,REGAVIM,300,0,,,11,0.81,0.0
47152,2020-09-07,328,0447,1,NORDIYYA,2030,0,,,10,0.921,0.0
47329,2020-09-07,329,0448,1,BENE ATAROT,920,0,,,1,0.789,0.0
47505,2020-09-07,330,0449,1,NEHALIM,1640,0,,,8,0.781,0.0
47683,2020-09-07,331,0450,1,BE'EROT YIZHAQ,390,0,,,2,0.812,0.0
48206,2020-09-07,334,0454,1,SA'AR,700,0,,,1,0.794,0.0
48382,2020-09-07,335,0456,1,SHORESH,760,0,,,2,1.0,0.0
49023,2020-09-07,339,0463,1,GA'TON,530,0,,,2,0.797,0.0
49280,2020-09-07,341,0465,1,ZOVA,600,0,,,1,0.806,0.0
49458,2020-09-07,342,0466,1,BET DAGAN,7050,0,,,2,0.792,0.0
49636,2020-09-07,343,0469,1,QIRYAT EQRON,10500,0,,,10,0.792,0.0
50379,2020-09-07,349,0481,1,MUGHAR,20710,0,,,2,0.733,0.0
51367,2020-09-07,358,0494,1,DALIYAT AL KARMEL,16040,1,,,1,0.753,0.0
56579,2020-09-07,404,0559,1,BUSTAN HAGALIL,830,0,,,2,0.789,0.0
56757,2020-09-07,405,0562,1,BET EL'AZARI,1390,1,,,5,0.773,0.0
57220,2020-09-07,408,0565,1,AZOR,11700,0,,,6,0.798,0.0
58898,2020-09-07,420,0579,1,KEFAR ROSH HANIQRA,1230,0,,,1,0.796,0.0
59251,2020-09-07,422,0582,1,KEFAR HANAGID,1260,0,,,3,0.803,0.0
59724,2020-09-07,425,0586,1,MEGIDDO,810,0,,,1,0.792,0.0
59903,2020-09-07,426,0587,1,SAVYON,3340,0,,,5,0.83,0.0
60081,2020-09-07,427,0588,1,BENE RE'EM,1370,0,,,4,0.761,0.0
60400,2020-09-07,429,0590,1,NEWE UR,280,0,,,1,0.807,0.0
61548,2020-09-07,436,0597,1,PALMAHIM,490,0,,,6,0.785,0.0
62273,2020-09-07,441,0604,1,BET ARIF,1070,0,,,15,0.789,0.0
62517,2020-09-07,443,0606,1,MAZOR,1290,0,,,2,0.789,0.0
62900,2020-09-07,446,0610,1,SITRIYYA,970,0,,,4,0.773,0.0
66217,2020-09-07,472,0662,1,HOSEN,910,0,,,4,0.763,0.0
66801,2020-09-07,476,0666,1,OMER,7200,0,,,7,0.832,0.0
66978,2020-09-07,477,0667,1,BAR'AM,570,0,,,8,0.85,0.0
67155,2020-09-07,478,0668,1,MEFALLESIM,920,0,,,1,0.795,0.0
67504,2020-09-07,480,0672,1,BET NEQOFA,580,0,,,4,0.783,0.0
67852,2020-09-07,482,0674,1,LIMAN,650,0,,,3,0.78,0.0
68237,2020-09-07,485,0677,1,HASOLELIM,820,0,,,5,0.78,0.0
68829,2020-09-07,489,0681,1,GIV'AT SHEMU'EL,23700,0,,,20,0.822,0.0
69601,2020-09-07,494,0686,1,NEWE YAMIN,1120,0,,,11,0.769,0.0
70023,2020-09-07,497,0689,1,MEGADIM,1190,0,,,18,0.781,0.0
70688,2020-09-07,501,0694,1,MA'AGAN MIKHA'EL,1730,0,,,3,0.788,0.0
71008,2020-09-07,503,0696,1,KEFAR HABAD,5290,0,,,1,0.742,0.0
73524,2020-09-07,520,0714,1,EREZ,480,0,,,8,0.785,0.0
75423,2020-09-07,533,0730,1,ELIFELET,560,0,,,12,0.784,0.0
