,date,id,area_id,is_city,city_name,population,num_reports,symptoms_ratio,symptoms_ratio_confidence,num_reports_weighted,symptoms_ratio_weighted,symptoms_ratio_confidence_weighted
699,2020-09-27,7,0016,1,BET NIR,530,0,,,3,0.903,0.0
1617,2020-09-27,13,0026,1,ROSH PINNA,2780,4,,,28,0.89,0.0
1885,2020-09-27,15,0028,1,MAZKERET BATYA,10680,0,,,4,0.879,0.0
2535,2020-09-27,19,0033,1,BAT SHELOMO,550,0,,,6,0.904,0.0
3215,2020-09-27,25,0043,1,METULA,1560,0,,,13,0.88,0.0
3649,2020-09-27,28,0047,1,KEFAR TAVOR,3220,1,,,10,0.885,0.0
3844,2020-09-27,29,0048,1,MENAHEMYA,1010,0,,,1,1.117,0.0
5549,2020-09-27,41,0066,1,MERHAVYA(QIBBUZ),1080,0,,,1,0.907,0.0
5988,2020-09-27,44,0070,1,ASHDOD,214890,6,,,53,0.902,0.5
6252,2020-09-27,46,0072,1,GAN SHEMU'EL,860,0,,,4,0.936,0.0
6730,2020-09-27,49,0077,1,AYYELET HASHAHAR,1570,1,,,4,0.934,0.0
7224,2020-09-27,52,0080,1,NAHALAL,920,1,,,7,0.896,0.0
7943,2020-09-27,57,0088,1,KEREM BEN SHEMEN,80,1,,,6,1.054,0.0
8272,2020-09-27,59,0090,1,HEFZI-BAH,440,0,,,2,0.92,0.0
8854,2020-09-27,63,0096,1,YAGUR,1500,0,,,1,0.925,0.0
9304,2020-09-27,66,0099,1,MIZPE RAMON,5060,1,,,4,0.875,0.0
10393,2020-09-27,75,0122,1,RAMAT YISHAY,7200,3,,,14,0.895,0.0
11031,2020-09-27,79,0130,1,MISHMAR HAEMEQ,1170,2,,,18,0.905,0.0
11541,2020-09-27,82,0134,1,YIF'AT,970,0,,,5,0.896,0.0
11921,2020-09-27,84,0139,1,EN SHEMER,560,0,,,10,0.924,0.0
12593,2020-09-27,89,0144,1,GAN SHELOMO,470,0,,,4,0.896,0.0
12941,2020-09-27,92,0147,1,GIV'AT BRENNER,2560,6,,,31,0.885,0.0
13140,2020-09-27,93,0154,1,TEL MOND,11020,2,,,49,0.897,0.5
