,date,id,area_id,is_city,city_name,population,num_reports,symptoms_ratio,symptoms_ratio_confidence,num_reports_weighted,symptoms_ratio_weighted,symptoms_ratio_confidence_weighted
648,2020-08-25,7,0016,1,BET NIR,530,0,,,3,0.817,0.0
925,2020-08-25,9,0021,1,BE'ER ORA,350,0,,,1,0.825,0.0
1484,2020-08-25,13,0026,1,ROSH PINNA,2780,4,,,34,0.82,0.0
1719,2020-08-25,15,0028,1,MAZKERET BATYA,10680,0,,,17,0.806,0.0
1885,2020-08-25,16,0029,1,YESUD HAMA'ALA,1580,0,,,3,0.841,0.0
2049,2020-08-25,17,0031,1,OFAQIM,24640,0,,,10,0.815,0.0
2284,2020-08-25,19,0033,1,BAT SHELOMO,550,2,,,8,0.776,0.0
2743,2020-08-25,24,0041,1,ELYAKHIN,3230,0,,,1,0.84,0.0
2906,2020-08-25,25,0043,1,METULA,1560,4,,,26,0.774,0.0
3291,2020-08-25,28,0047,1,KEFAR TAVOR,3220,2,,,16,0.803,0.0
3454,2020-08-25,29,0048,1,MENAHEMYA,1010,0,,,1,1.054,0.0
3686,2020-08-25,31,0052,1,LUZIT,490,0,,,1,0.822,0.0
3850,2020-08-25,32,0053,1,ATLIT,6030,0,,,16,0.838,0.0
3998,2020-08-25,33,0055,1,NOGAH,500,0,,,1,0.863,0.0
4302,2020-08-25,36,0059,1,NEHUSHA,940,0,,,1,0.792,0.0
5015,2020-08-25,41,0066,1,MERHAVYA(QIBBUZ),1080,1,,,3,0.81,0.0
5422,2020-08-25,44,0070,1,ASHDOD,214890,7,,,147,0.805,0.5
5657,2020-08-25,46,0072,1,GAN SHEMU'EL,860,1,,,5,0.845,0.0
5821,2020-08-25,47,0074,1,EN HOD,550,0,,,2,0.861,0.0
6077,2020-08-25,49,0077,1,AYYELET HASHAHAR,1570,0,,,3,0.85,0.0
6354,2020-08-25,51,0079,1,DEGANYA BET,620,0,,,1,0.837,0.0
6518,2020-08-25,52,0080,1,NAHALAL,920,1,,,7,0.807,0.0
6823,2020-08-25,54,0084,1,TEL YOSEF,510,0,,,1,0.862,0.0
7176,2020-08-25,57,0088,1,KEREM BEN SHEMEN,80,0,,,1,0.914,0.0
7472,2020-08-25,59,0090,1,HEFZI-BAH,440,1,,,5,0.841,0.0
7843,2020-08-25,62,0095,1,BET ALFA,1140,0,,,2,0.849,0.0
8007,2020-08-25,63,0096,1,YAGUR,1500,0,,,5,0.839,0.0
8243,2020-08-25,65,0098,1,KEFAR MALAL,330,0,,,2,0.844,0.0
8408,2020-08-25,66,0099,1,MIZPE RAMON,5060,0,,,7,0.761,0.0
8756,2020-08-25,69,0104,1,MIZRA,600,1,,,3,0.897,0.0
9223,2020-08-25,74,0115,1,HOFIT,760,0,,,1,0.88,0.0
9387,2020-08-25,75,0122,1,RAMAT YISHAY,7200,1,,,38,0.81,0.0
9550,2020-08-25,76,0126,1,SARID,830,2,,,11,0.879,0.0
9788,2020-08-25,78,0128,1,GAT RIMMON,280,0,,,1,0.852,0.0
9953,2020-08-25,79,0130,1,MISHMAR HAEMEQ,1170,3,,,19,0.806,0.0
10566,2020-08-25,83,0135,1,RAMAT DAWID,380,1,,,3,0.81,0.0
10728,2020-08-25,84,0139,1,EN SHEMER,560,2,,,9,0.838,0.0
11056,2020-08-25,87,0142,1,SEDE YA'AQOV,1240,0,,,3,0.794,0.0
11348,2020-08-25,89,0144,1,GAN SHELOMO,470,0,,,4,0.81,0.0
11663,2020-08-25,92,0147,1,GIV'AT BRENNER,2560,5,,,23,0.817,0.0
11829,2020-08-25,93,0154,1,TEL MOND,11020,5,,,77,0.781,0.5
12241,2020-08-25,96,0157,1,EN WERED,1370,3,,,16,0.809,0.0
12406,2020-08-25,97,0158,1,NA'AN,1440,1,,,5,0.805,0.0
12570,2020-08-25,98,0159,1,BET HANAN,530,0,,,3,0.858,0.0
12734,2020-08-25,99,0160,1,HULDA,500,1,,,8,0.816,0.0
12899,2020-08-25,100,0162,1,HERUT,1300,0,,,5,0.826,0.0
13412,2020-08-25,104,0166,1,GAN YAVNE,20700,11,,,72,0.786,0.5
13578,2020-08-25,105,0167,1,EN HAHORESH,730,0,,,4,0.869,0.0
13743,2020-08-25,106,0168,1,KEFAR YONA,19960,7,,,76,0.773,0.5
14010,2020-08-25,108,0171,1,PARDESIYYA,5480,0,,,20,0.804,0.0
