,date,id,area_id,is_city,city_name,population,num_reports,symptoms_ratio,symptoms_ratio_confidence,num_reports_weighted,symptoms_ratio_weighted,symptoms_ratio_confidence_weighted
369,2020-07-24,5,0013,1,HAZEVA,490,0,,,1,0.814,0.0
568,2020-07-24,7,0016,1,BET NIR,530,0,,,5,0.82,0.0
881,2020-07-24,10,0022,1,MIQWE YISRA'EL,390,0,,,3,0.78,0.0
1093,2020-07-24,12,0024,1,LAKHISH,700,0,,,13,0.794,0.0
1225,2020-07-24,13,0026,1,ROSH PINNA,2780,0,,,37,0.804,0.0
1414,2020-07-24,15,0028,1,MAZKERET BATYA,10680,0,,,18,0.77,0.0
1674,2020-07-24,17,0031,1,OFAQIM,24640,0,,,8,0.817,0.0
1877,2020-07-24,19,0033,1,BAT SHELOMO,550,0,,,8,0.78,0.0
2381,2020-07-24,25,0043,1,METULA,1560,0,,,18,0.782,0.0
2684,2020-07-24,28,0047,1,KEFAR TAVOR,3220,0,,,21,0.795,0.0
2807,2020-07-24,29,0048,1,MENAHEMYA,1010,0,,,2,1.281,0.0
3112,2020-07-24,32,0053,1,ATLIT,6030,0,,,5,0.804,0.0
3188,2020-07-24,33,0055,1,NOGAH,500,0,,,2,0.828,0.0
4011,2020-07-24,41,0066,1,MERHAVYA(QIBBUZ),1080,0,,,7,0.812,0.0
4354,2020-07-24,44,0070,1,ASHDOD,214890,1,,,73,0.796,0.5
4550,2020-07-24,46,0072,1,GAN SHEMU'EL,860,0,,,11,0.847,0.0
4868,2020-07-24,49,0077,1,AYYELET HASHAHAR,1570,0,,,5,0.849,0.0
5239,2020-07-24,52,0080,1,NAHALAL,920,0,,,5,0.807,0.0
5430,2020-07-24,54,0084,1,TEL YOSEF,510,0,,,1,0.836,0.0
5544,2020-07-24,55,0085,1,KEFAR YEHEZQEL,1090,0,,,4,0.795,0.0
5671,2020-07-24,56,0086,1,GEVA,630,0,,,1,0.836,0.0
5887,2020-07-24,58,0089,1,EN HAROD (IHUD),550,0,,,2,0.841,0.0
6018,2020-07-24,59,0090,1,HEFZI-BAH,440,0,,,3,0.832,0.0
6368,2020-07-24,62,0095,1,BET ALFA,1140,0,,,10,0.845,0.0
6501,2020-07-24,63,0096,1,YAGUR,1500,0,,,11,0.846,0.0
6831,2020-07-24,66,0099,1,MIZPE RAMON,5060,1,,,10,0.762,0.0
7140,2020-07-24,69,0104,1,MIZRA,600,0,,,1,0.894,0.0
7644,2020-07-24,75,0122,1,RAMAT YISHAY,7200,0,,,23,0.804,0.0
7775,2020-07-24,76,0126,1,SARID,830,0,,,6,0.87,0.0
8081,2020-07-24,79,0130,1,MISHMAR HAEMEQ,1170,2,,,19,0.816,0.0
8408,2020-07-24,82,0134,1,YIF'AT,970,0,,,3,0.816,0.0
8541,2020-07-24,83,0135,1,RAMAT DAWID,380,0,,,3,0.806,0.0
8671,2020-07-24,84,0139,1,EN SHEMER,560,0,,,8,0.835,0.0
9208,2020-07-24,89,0144,1,GAN SHELOMO,470,0,,,2,0.816,0.0
9491,2020-07-24,92,0147,1,GIV'AT BRENNER,2560,0,,,43,0.788,0.5
9625,2020-07-24,93,0154,1,TEL MOND,11020,0,,,59,0.775,0.5
9903,2020-07-24,96,0157,1,EN WERED,1370,0,,,14,0.805,0.0
10036,2020-07-24,97,0158,1,NA'AN,1440,0,,,3,0.812,0.0
10267,2020-07-24,99,0160,1,HULDA,500,0,,,6,0.798,0.0
10400,2020-07-24,100,0162,1,HERUT,1300,0,,,6,0.808,0.0
10829,2020-07-24,104,0166,1,GAN YAVNE,20700,0,,,69,0.778,0.5
10963,2020-07-24,105,0167,1,EN HAHORESH,730,0,,,3,0.861,0.0
11096,2020-07-24,106,0168,1,KEFAR YONA,19960,0,,,82,0.819,0.5
11324,2020-07-24,108,0171,1,PARDESIYYA,5480,0,,,10,0.837,0.0
11457,2020-07-24,109,0173,1,GIV'AT HAYYIM(ME'UHAD),980,0,,,1,0.839,0.0
11790,2020-07-24,112,0176,1,AFIQIM,1440,0,,,10,0.839,0.0
11924,2020-07-24,113,0177,1,KEFAR BILU,1240,0,,,6,0.823,0.0
12162,2020-07-24,115,0182,1,EVEN YEHUDA,12410,0,,,45,0.815,0.5
12412,2020-07-24,117,0184,1,RAMAT HAKOVESH,960,0,,,3,0.824,0.0
13166,2020-07-24,124,0192,1,KEFAR HAHORESH,560,0,,,16,0.816,0.0
13497,2020-07-24,127,0195,1,QADIMA-ZORAN,17960,3,,,51,0.777,0.5
13739,2020-07-24,129,0197,1,MA'BAROT,920,0,,,5,0.829,0.0
14077,2020-07-24,132,0200,1,BET YANNAY,420,0,,,1,0.817,0.0
14210,2020-07-24,133,0202,1,BET OVED,270,0,,,24,0.87,0.0
14518,2020-07-24,136,0206,1,RAMOT HASHAVIM,1640,0,,,2,0.824,0.0
14642,2020-07-24,137,0207,1,GIV'AT HEN,390,0,,,1,0.847,0.0
14775,2020-07-24,138,0208,1,MOZA ILLIT,920,0,,,1,0.869,0.0
15351,2020-07-24,144,0220,1,KEFAR BIALIK,830,0,,,8,0.823,0.0
15635,2020-07-24,147,0225,1,GAN HASHOMERON,790,0,,,1,0.819,0.0
15769,2020-07-24,148,0229,1,GANNE TIQWA,14260,0,,,43,0.838,0.5
15901,2020-07-24,149,0230,1,MA'AS,780,0,,,19,0.806,0.0
16034,2020-07-24,150,0232,1,SHEFAYIM,1140,0,,,8,0.79,0.0
16604,2020-07-24,155,0239,1,GAN HAYYIM,830,0,,,16,0.801,0.0
16738,2020-07-24,156,0240,1,YOQNE'AM ILLIT,20260,0,,,39,0.777,0.0
16872,2020-07-24,157,0241,1,YOQNE'AM(MOSHAVA),1300,0,,,15,0.824,0.0
17113,2020-07-24,159,0246,1,NETIVOT,28710,0,,,12,0.799,0.0
17456,2020-07-24,162,0249,1,KEFAR SIRKIN,1290,0,,,4,0.805,0.0
17589,2020-07-24,163,0250,1,HAZOREA,860,0,,,10,0.863,0.0
17712,2020-07-24,164,0252,1,BITAN AHARON,390,0,,,3,0.824,0.0
17845,2020-07-24,165,0253,1,HULATA,530,0,,,8,0.831,0.0
18155,2020-07-24,168,0256,1,NIR DAWID (TEL AMAL),630,0,,,1,0.83,0.0
18288,2020-07-24,169,0257,1,NOFEKH,460,0,,,10,0.779,0.0
18726,2020-07-24,173,0264,1,SHA'AR HAGOLAN,570,0,,,8,0.871,0.0
18840,2020-07-24,175,0267,1,KEFAR SHEMARYAHU,1770,0,,,4,0.859,0.0
18973,2020-07-24,176,0268,1,TIRAT ZEVI,710,0,,,11,0.917,0.0
19507,2020-07-24,181,0274,1,KEFAR MENAHEM,1220,0,,,17,0.782,0.0
19640,2020-07-24,182,0276,1,ZUR MOSHE,3290,0,,,13,0.779,0.0
20034,2020-07-24,186,0282,1,SHAVE ZIYYON,970,0,,,1,0.817,0.0
20167,2020-07-24,187,0284,1,SEDE WARBURG,1480,0,,,4,0.8,0.0
20511,2020-07-24,190,0287,1,TEL YIZHAQ,960,0,,,6,1.0,0.0
20644,2020-07-24,191,0288,1,BET YEHOSHUA,1000,0,,,10,0.791,0.0
20778,2020-07-24,192,0289,1,EN HAMIFRAZ,1170,0,,,18,0.834,0.0
21209,2020-07-24,196,0294,1,ELON,950,0,,,5,0.871,0.0
21341,2020-07-24,197,0295,1,KEFAR RUPPIN,430,0,,,6,0.825,0.0
22502,2020-07-24,209,0308,1,MAHANAYIM,540,0,,,1,0.825,0.0
22634,2020-07-24,210,0309,1,NEHORA,1120,0,,,3,0.78,0.0
22762,2020-07-24,211,0310,1,KEFAR GLIKSON,270,0,,,2,0.832,0.0
23159,2020-07-24,215,0315,1,NEGBA,810,0,,,4,0.81,0.0
23292,2020-07-24,216,0316,1,KEFAR NETTER,1100,0,,,4,0.794,0.0
23668,2020-07-24,220,0320,1,KEFAR WARBURG,1030,0,,,12,0.796,0.0
23979,2020-07-24,223,0325,1,MAZZUVA,990,0,,,2,0.831,0.0
24113,2020-07-24,224,0326,1,BET YIZHAQ-SH. HEFER,2000,0,,,1,0.836,0.0
24810,2020-07-24,231,0335,1,RAMAT HASHOFET,880,0,,,7,0.786,0.0
24942,2020-07-24,232,0336,1,DOROT,720,0,,,5,0.822,0.0
25123,2020-07-24,234,0339,1,RAMAT ZEVI,550,0,,,4,0.823,0.0
25255,2020-07-24,235,0340,1,GAT(QIBBUZ),640,0,,,5,0.832,0.0
25568,2020-07-24,238,0344,1,MA'ANIT,650,0,,,4,0.811,0.0
25809,2020-07-24,240,0346,1,GELIL YAM,430,0,,,6,0.806,0.0
26259,2020-07-24,244,0352,1,GEVULOT,270,0,,,3,0.821,0.0
26844,2020-07-24,250,0358,1,YAD MORDEKHAY,670,0,,,11,0.835,0.0
26972,2020-07-24,251,0359,1,NIZZANIM,400,0,,,2,0.86,0.0
27359,2020-07-24,255,0364,1,KEFAR URIYYA,850,0,,,6,0.775,0.0
27491,2020-07-24,256,0365,1,BET QESHET,480,0,,,5,0.809,0.0
27624,2020-07-24,257,0366,1,SHAMIR,910,0,,,19,0.795,0.0
27953,2020-07-24,260,0369,1,GAL'ED (EVEN YIZHAQ),420,0,,,12,0.82,0.0
28504,2020-07-24,266,0375,1,MAGGAL,990,0,,,7,0.785,0.0
28860,2020-07-24,269,0378,1,MISGAV AM,260,0,,,3,0.788,0.0
29302,2020-07-24,273,0383,1,EN HANAZIV,600,0,,,8,0.818,0.0
29435,2020-07-24,274,0385,1,AMMI'AD,420,0,,,2,0.839,0.0
29566,2020-07-24,275,0386,1,BENE DEROR,1220,0,,,4,0.949,0.0
29812,2020-07-24,277,0388,1,KEFAR KISCH,440,0,,,10,0.778,0.0
30059,2020-07-24,279,0390,1,REGBA,1040,0,,,6,0.829,0.0
30665,2020-07-24,285,0397,1,HAZERIM,770,0,,,4,0.835,0.0
31169,2020-07-24,290,0403,1,URIM,480,0,,,12,0.837,0.0
31415,2020-07-24,292,0406,1,HAZOR-ASHDOD,510,0,,,6,0.819,0.0
31766,2020-07-24,295,0409,1,YEHI'AM,400,0,,,1,0.807,0.0
32196,2020-07-24,300,0416,1,MA'YAN BARUKH,660,0,,,9,0.792,0.0
32435,2020-07-24,302,0418,1,BENE ZIYYON,1320,0,,,2,0.802,0.0
32567,2020-07-24,303,0419,1,SA'AD,760,0,,,13,0.812,0.0
33013,2020-07-24,307,0424,1,GEVIM,400,0,,,1,0.795,0.0
33255,2020-07-24,309,0426,1,EN KARMEL,790,0,,,2,0.796,0.0
33454,2020-07-24,311,0428,1,BEROR HAYIL,800,0,,,1,0.828,0.0
33585,2020-07-24,312,0429,1,ALLONE ABBA,920,0,,,3,0.776,0.0
33718,2020-07-24,313,0430,1,BET LEHEM HAGELILIT,770,0,,,3,0.82,0.0
33919,2020-07-24,315,0432,1,SHAMERAT,420,0,,,3,0.84,0.0
34048,2020-07-24,316,0433,1,NAHSHOLIM,580,0,,,4,0.826,0.0
34181,2020-07-24,317,0434,1,HAHOTERIM,640,0,,,1,0.804,0.0
34971,2020-07-24,325,0444,1,REGAVIM,300,0,,,8,0.832,0.0
35360,2020-07-24,328,0447,1,NORDIYYA,2030,0,,,12,0.907,0.0
35616,2020-07-24,330,0449,1,NEHALIM,1640,0,,,9,0.79,0.0
35749,2020-07-24,331,0450,1,BE'EROT YIZHAQ,390,0,,,4,0.828,0.0
36547,2020-07-24,338,0462,1,TAL SHAHAR,1140,0,,,1,0.79,0.0
36680,2020-07-24,339,0463,1,GA'TON,530,0,,,15,0.796,0.0
36892,2020-07-24,341,0465,1,ZOVA,600,0,,,2,0.82,0.0
37025,2020-07-24,342,0466,1,BET DAGAN,7050,0,,,3,0.808,0.0
37158,2020-07-24,343,0469,1,QIRYAT EQRON,10500,0,,,9,0.803,0.0
37698,2020-07-24,349,0481,1,MUGHAR,20710,0,,,1,0.761,0.0
37888,2020-07-24,351,0483,1,BI'NE,7580,0,,,1,0.805,0.0
38087,2020-07-24,353,0487,1,JISH(GUSH HALAV),2960,0,,,1,0.798,0.0
39253,2020-07-24,367,0508,1,KAFAR KAMA,3100,0,,,12,0.793,0.0
40933,2020-07-24,388,0532,1,EIN MAHEL,11780,0,,,1,0.76,0.0
41629,2020-07-24,397,0542,1,REINE,15620,0,,,1,0.771,0.0
42213,2020-07-24,403,0555,1,SHEDEMA,580,0,,,2,0.811,0.0
42345,2020-07-24,404,0559,1,BUSTAN HAGALIL,830,0,,,4,0.812,0.0
42478,2020-07-24,405,0562,1,BET EL'AZARI,1390,0,,,13,0.808,0.0
42840,2020-07-24,408,0565,1,AZOR,11700,0,,,15,0.792,0.0
43623,2020-07-24,416,0575,1,YAS'UR,570,0,,,3,0.806,0.0
43755,2020-07-24,417,0576,1,KABRI,910,0,,,15,0.804,0.0
44307,2020-07-24,422,0582,1,KEFAR HANAGID,1260,0,,,5,0.821,0.0
44544,2020-07-24,424,0585,1,LAVI,640,0,,,2,0.813,0.0
44663,2020-07-24,425,0586,1,MEGIDDO,810,0,,,6,0.796,0.0
44797,2020-07-24,426,0587,1,SAVYON,3340,1,,,9,0.843,0.0
44930,2020-07-24,427,0588,1,BENE RE'EM,1370,0,,,7,0.788,0.0
45144,2020-07-24,429,0590,1,NEWE UR,280,0,,,3,0.819,0.0
45391,2020-07-24,431,0592,1,BENE DAROM,560,0,,,2,0.801,0.0
45632,2020-07-24,433,0594,1,ZAFRIYYA,910,0,,,1,0.835,0.0
45996,2020-07-24,436,0597,1,PALMAHIM,490,0,,,15,0.793,0.0
46505,2020-07-24,441,0604,1,BET ARIF,1070,0,,,17,0.797,0.0
46697,2020-07-24,443,0606,1,MAZOR,1290,0,,,4,0.809,0.0
46990,2020-07-24,446,0610,1,SITRIYYA,970,0,,,12,0.78,0.0
47374,2020-07-24,450,0615,1,QIDRON,1550,0,,,1,0.871,0.0
47803,2020-07-24,454,0619,1,BET GUVRIN,360,0,,,3,0.807,0.0
48827,2020-07-24,465,0638,1,QALANSAWE,20190,1,,,1,0.762,0.0
49486,2020-07-24,472,0662,1,HOSEN,910,0,,,5,0.785,0.0
49913,2020-07-24,476,0666,1,OMER,7200,0,,,34,0.833,0.0
50045,2020-07-24,477,0667,1,BAR'AM,570,0,,,11,0.858,0.0
50177,2020-07-24,478,0668,1,MEFALLESIM,920,0,,,2,0.809,0.0
50412,2020-07-24,480,0672,1,BET NEQOFA,580,0,,,5,0.801,0.0
50746,2020-07-24,483,0675,1,HABONIM,320,0,,,1,0.824,0.0
50967,2020-07-24,485,0677,1,HASOLELIM,820,0,,,5,0.797,0.0
51361,2020-07-24,489,0681,1,GIV'AT SHEMU'EL,23700,0,,,55,0.81,0.5
51859,2020-07-24,494,0686,1,NEWE YAMIN,1120,0,,,8,0.792,0.0
51992,2020-07-24,495,0687,1,EN AYYALA,1100,0,,,5,0.767,0.0
52193,2020-07-24,497,0689,1,MEGADIM,1190,0,,,14,0.8,0.0
52538,2020-07-24,500,0693,1,NETIV HALAMED-HE,560,0,,,1,0.829,0.0
52672,2020-07-24,501,0694,1,MA'AGAN MIKHA'EL,1730,0,,,10,0.791,0.0
52804,2020-07-24,502,0695,1,MAGEN,530,0,,,6,0.836,0.0
52927,2020-07-24,503,0696,1,KEFAR HABAD,5290,0,,,1,0.767,0.0
53806,2020-07-24,512,0706,1,GE'A,890,0,,,2,0.808,0.0
53935,2020-07-24,513,0707,1,KEFAR DANIYYEL,680,1,,,3,0.779,0.0
54230,2020-07-24,516,0710,1,BET ZAYIT,1560,0,,,2,0.801,0.0
54653,2020-07-24,520,0714,1,EREZ,480,0,,,10,0.805,0.0
54850,2020-07-24,522,0716,1,EYAL,460,0,,,1,0.8,0.0
55951,2020-07-24,533,0730,1,ELIFELET,560,0,,,10,0.805,0.0
56173,2020-07-24,535,0732,1,MISHMAR HAYARDEN,590,0,,,8,0.789,0.0
56410,2020-07-24,537,0735,1,RAMOT ME'IR,760,0,,,5,0.809,0.0
56961,2020-07-24,543,0741,1,SHO'EVA,620,0,,,1,0.821,0.0
57188,2020-07-24,545,0743,1,KEFAR SHEMU'EL,830,0,,,4,0.778,0.0
57319,2020-07-24,546,0744,1,TALME YAFE,690,0,,,1,0.791,0.0
58045,2020-07-24,554,0752,1,TA'OZ,570,0,,,1,0.809,0.0
59036,2020-07-24,565,0764,1,KEFAR MORDEKHAY,600,0,,,1,0.817,0.0
59170,2020-07-24,566,0765,1,MISGAV DOV,700,1,,,13,0.791,0.0
59412,2020-07-24,569,0768,1,KARMIYYA,590,0,,,5,0.776,0.0
59636,2020-07-24,571,0771,1,MEVO BETAR,520,0,,,5,0.781,0.0
60045,2020-07-24,575,0775,1,YAD NATAN,550,0,,,9,0.813,0.0
60455,2020-07-24,579,0779,1,AMMINADAV,1030,0,,,6,0.805,0.0
60588,2020-07-24,580,0780,1,ORA,1230,0,,,2,0.789,0.0
60721,2020-07-24,581,0783,1,EVEN SAPPIR,680,0,,,6,0.8,0.0
62135,2020-07-24,596,0799,1,ZEKHARYA,940,0,,,5,0.804,0.0
62880,2020-07-24,603,0806,1,EN YAHAV,670,0,,,4,0.811,0.0
63119,2020-07-24,605,0808,1,NIR ELIYYAHU,360,0,,,6,0.814,0.0
64027,2020-07-24,616,0819,1,AVIGEDOR,740,0,,,9,0.803,0.0
64308,2020-07-24,619,0822,1,MATTA,790,0,,,1,0.786,0.0
64529,2020-07-24,621,0824,1,KOKHAV MIKHA'EL,920,0,,,7,0.787,0.0
64663,2020-07-24,622,0825,1,NES HARIM,970,0,,,5,0.769,0.0
64858,2020-07-24,624,0827,1,NEWE MIVTAH,620,0,,,6,0.799,0.0
65848,2020-07-24,635,0842,1,GA'ASH,630,0,,,8,0.826,0.0
66186,2020-07-24,638,0845,1,KEFAR AZZA,660,0,,,4,0.797,0.0
66868,2020-07-24,645,0853,1,GE'ALYA,1010,0,,,2,0.818,0.0
67166,2020-07-24,648,0857,1,KEFAR AVIV,750,0,,,2,0.818,0.0
67688,2020-07-24,653,0863,1,GINNATON,870,0,,,2,0.803,0.0
68140,2020-07-24,658,0870,1,GIV'AT HASHELOSHA,740,0,,,8,0.819,0.0
68489,2020-07-24,662,0874,1,MIGDAL HAEMEQ,24450,1,,,16,0.83,0.0
69492,2020-07-24,676,0917,1,SEGEV,1030,0,,,30,0.849,0.0
69624,2020-07-24,677,0919,1,GIV'AT YESHA'YAHU,710,0,,,9,0.783,0.0
69764,2020-07-24,679,0922,1,REKHASIM,9690,0,,,6,0.757,0.0
70486,2020-07-24,695,1015,1,MEVASSERET ZIYYON,24470,0,,,82,0.791,0.5
70620,2020-07-24,696,1020,1,OR AQIVA,16200,0,,,17,0.839,0.0
70860,2020-07-24,698,1031,1,SEDEROT,21580,0,,,6,0.794,0.0
70993,2020-07-24,699,1034,1,QIRYAT MAL'AKHI,21210,0,,,7,0.808,0.0
71120,2020-07-24,700,1043,1,GIZO,190,0,,,3,0.767,0.0
72298,2020-07-24,715,1061,1,NAZERAT ILLIT,40830,0,,,32,0.92,0.0
72431,2020-07-24,716,1063,1,MA'ALOT-TARSHIHA,21070,0,,,8,0.83,0.0
72990,2020-07-24,722,1069,1,RAM-ON,950,0,,,1,0.808,0.0
75034,2020-07-24,746,1113,1,ZUR HADASSA,6630,0,,,24,0.76,0.0
75166,2020-07-24,747,1114,1,SRIGIM (LI-ON),1010,0,,,29,0.735,0.0
75427,2020-07-24,751,1124,1,NE'OT HAKIKKAR,400,0,,,1,0.869,0.0
75821,2020-07-24,755,1128,1,ME AMMI,310,0,,,1,0.811,0.0
76545,2020-07-24,763,1138,1,YA'AD,630,0,,,9,0.786,0.0
76679,2020-07-24,764,1139,1,KARMI'EL,44870,2,,,87,0.82,0.5
76812,2020-07-24,765,1140,1,MIDRESHET BEN GURION,1520,0,,,8,0.773,0.0
78045,2020-07-24,781,1157,1,AHAWA,170,0,,,8,1.034,0.0
78261,2020-07-24,783,1160,1,SHEKHANYA,740,0,,,7,0.778,0.0
78487,2020-07-24,785,1162,1,BET RIMMON,490,0,,,1,0.744,0.0
78744,2020-07-24,788,1166,1,KEFAR RUT,200,0,,,3,0.826,0.0
78878,2020-07-24,789,1167,1,QESARYYA,4560,0,,,8,0.81,0.0
79216,2020-07-24,793,1174,1,MANOF,690,0,,,9,0.779,0.0
79681,2020-07-24,798,1179,1,QORANIT,830,0,,,1,0.795,0.0
80380,2020-07-24,805,1186,1,HOSHA'AYA,1860,0,,,2,0.775,0.0
80616,2020-07-24,808,1190,1,MIZPE NETOFA,780,0,,,4,0.77,0.0
81075,2020-07-24,815,1199,1,ADI,1650,0,,,3,0.894,0.0
81209,2020-07-24,816,1200,1,MODI'IN-MAKKABBIM-RE'UT,82910,0,,,226,0.841,1.0
81343,2020-07-24,817,1201,1,KAMMON,1260,0,,,11,0.773,0.0
