,date,id,area_id,is_city,city_name,population,num_reports,symptoms_ratio,symptoms_ratio_confidence,num_reports_weighted,symptoms_ratio_weighted,symptoms_ratio_confidence_weighted
494,2020-07-10,7,0016,1,BET NIR,530,0,,,4,0.839,0.0
789,2020-07-10,10,0022,1,MIQWE YISRA'EL,390,0,,,2,0.801,0.0
978,2020-07-10,12,0024,1,LAKHISH,700,1,,,18,0.828,0.0
1096,2020-07-10,13,0026,1,ROSH PINNA,2780,6,,,46,0.813,0.5
1270,2020-07-10,15,0028,1,MAZKERET BATYA,10680,3,,,33,0.776,0.0
1388,2020-07-10,16,0029,1,YESUD HAMA'ALA,1580,0,,,2,0.824,0.0
1507,2020-07-10,17,0031,1,OFAQIM,24640,0,,,9,0.82,0.0
1689,2020-07-10,19,0033,1,BAT SHELOMO,550,2,,,9,0.802,0.0
2171,2020-07-10,25,0043,1,METULA,1560,5,,,30,0.785,0.0
2460,2020-07-10,28,0047,1,KEFAR TAVOR,3220,3,,,30,0.812,0.0
2577,2020-07-10,29,0048,1,MENAHEMYA,1010,0,,,1,1.082,0.0
2863,2020-07-10,32,0053,1,ATLIT,6030,0,,,8,0.832,0.0
3284,2020-07-10,37,0062,1,DEGANYA ALEF,560,0,,,2,0.909,0.0
3719,2020-07-10,41,0066,1,MERHAVYA(QIBBUZ),1080,2,,,8,0.834,0.0
4048,2020-07-10,44,0070,1,ASHDOD,214890,11,,,141,0.842,0.5
4229,2020-07-10,46,0072,1,GAN SHEMU'EL,860,1,,,11,0.856,0.0
4533,2020-07-10,49,0077,1,AYYELET HASHAHAR,1570,0,,,7,0.869,0.0
4763,2020-07-10,51,0079,1,DEGANYA BET,620,0,,,1,0.855,0.0
4882,2020-07-10,52,0080,1,NAHALAL,920,1,,,7,0.823,0.0
5291,2020-07-10,56,0086,1,GEVA,630,0,,,1,0.854,0.0
5493,2020-07-10,58,0089,1,EN HAROD (IHUD),550,2,,,12,0.852,0.0
5610,2020-07-10,59,0090,1,HEFZI-BAH,440,0,,,2,0.855,0.0
5826,2020-07-10,61,0094,1,BALFURYA,430,0,,,4,0.825,0.0
5945,2020-07-10,62,0095,1,BET ALFA,1140,2,,,17,1.022,0.0
6064,2020-07-10,63,0096,1,YAGUR,1500,2,,,27,0.893,0.0
6250,2020-07-10,65,0098,1,KEFAR MALAL,330,0,,,4,0.853,0.0
6369,2020-07-10,66,0099,1,MIZPE RAMON,5060,2,,,10,0.811,0.0
6657,2020-07-10,69,0104,1,MIZRA,600,0,,,1,0.914,0.0
7019,2020-07-10,74,0115,1,HOFIT,760,0,,,2,0.87,0.0
7138,2020-07-10,75,0122,1,RAMAT YISHAY,7200,5,,,37,0.828,0.0
7255,2020-07-10,76,0126,1,SARID,830,2,,,7,0.893,0.0
7541,2020-07-10,79,0130,1,MISHMAR HAEMEQ,1170,3,,,20,0.833,0.0
7849,2020-07-10,82,0134,1,YIF'AT,970,3,,,10,0.825,0.0
7968,2020-07-10,83,0135,1,RAMAT DAWID,380,0,,,4,0.827,0.0
8084,2020-07-10,84,0139,1,EN SHEMER,560,0,,,12,0.852,0.0
8345,2020-07-10,87,0142,1,SEDE YA'AQOV,1240,0,,,2,0.812,0.0
8462,2020-07-10,88,0143,1,BET ZERA,540,0,,,4,0.856,0.0
8581,2020-07-10,89,0144,1,GAN SHELOMO,470,1,,,4,0.832,0.0
8850,2020-07-10,92,0147,1,GIV'AT BRENNER,2560,7,,,55,0.804,0.5
8970,2020-07-10,93,0154,1,TEL MOND,11020,10,,,74,0.793,0.5
9228,2020-07-10,96,0157,1,EN WERED,1370,3,,,26,0.834,0.0
9347,2020-07-10,97,0158,1,NA'AN,1440,1,,,4,0.828,0.0
9563,2020-07-10,99,0160,1,HULDA,500,1,,,7,0.82,0.0
9682,2020-07-10,100,0162,1,HERUT,1300,1,,,11,0.83,0.0
9797,2020-07-10,101,0163,1,TIMMORIM,800,0,,,4,0.814,0.0
10090,2020-07-10,104,0166,1,GAN YAVNE,20700,8,,,89,0.776,0.5
10210,2020-07-10,105,0167,1,EN HAHORESH,730,0,,,5,0.88,0.0
10329,2020-07-10,106,0168,1,KEFAR YONA,19960,9,,,93,0.814,0.5
10543,2020-07-10,108,0171,1,PARDESIYYA,5480,3,,,21,0.837,0.0
10662,2020-07-10,109,0173,1,GIV'AT HAYYIM(ME'UHAD),980,0,,,6,0.842,0.0
10865,2020-07-10,111,0175,1,AVIHAYIL,1390,0,,,1,0.848,0.0
10969,2020-07-10,112,0176,1,AFIQIM,1440,0,,,7,0.884,0.0
11089,2020-07-10,113,0177,1,KEFAR BILU,1240,1,,,6,0.843,0.0
11313,2020-07-10,115,0182,1,EVEN YEHUDA,12410,4,,,51,0.864,0.5
