,date,id,area_id,is_city,city_name,population,num_reports,symptoms_ratio,symptoms_ratio_confidence,num_reports_weighted,symptoms_ratio_weighted,symptoms_ratio_confidence_weighted
371,2020-07-22,5,0013,1,HAZEVA,490,0,,,1,0.81,0.0
568,2020-07-22,7,0016,1,BET NIR,530,0,,,10,0.839,0.0
804,2020-07-22,9,0021,1,BE'ER ORA,350,0,,,4,0.832,0.0
911,2020-07-22,10,0022,1,MIQWE YISRA'EL,390,0,,,2,0.775,0.0
1138,2020-07-22,12,0024,1,LAKHISH,700,0,,,17,0.796,0.0
1268,2020-07-22,13,0026,1,ROSH PINNA,2780,0,,,47,0.827,0.5
1469,2020-07-22,15,0028,1,MAZKERET BATYA,10680,0,,,58,0.773,0.5
1601,2020-07-22,16,0029,1,YESUD HAMA'ALA,1580,0,,,3,0.863,0.0
1732,2020-07-22,17,0031,1,OFAQIM,24640,0,,,27,0.824,0.0
1933,2020-07-22,19,0033,1,BAT SHELOMO,550,0,,,10,0.799,0.0
2344,2020-07-22,24,0041,1,ELYAKHIN,3230,0,,,2,0.857,0.0
2473,2020-07-22,25,0043,1,METULA,1560,0,,,24,0.788,0.0
2666,2020-07-22,27,0046,1,YAVNE'EL,3890,0,,,1,0.861,0.0
2796,2020-07-22,28,0047,1,KEFAR TAVOR,3220,0,,,26,0.827,0.0
2925,2020-07-22,29,0048,1,MENAHEMYA,1010,0,,,3,1.139,0.0
3257,2020-07-22,32,0053,1,ATLIT,6030,0,,,36,0.813,0.0
3371,2020-07-22,33,0055,1,NOGAH,500,0,,,1,0.879,0.0
3641,2020-07-22,36,0059,1,NEHUSHA,940,0,,,1,0.808,0.0
3887,2020-07-22,38,0063,1,KINNERET(MOSHAVA),620,0,,,1,0.872,0.0
4017,2020-07-22,39,0064,1,YAD RAMBAM,1010,0,,,2,0.856,0.0
4270,2020-07-22,41,0066,1,MERHAVYA(QIBBUZ),1080,0,,,8,0.803,0.0
4400,2020-07-22,42,0067,1,OR HANER,610,0,,,1,0.851,0.0
4636,2020-07-22,44,0070,1,ASHDOD,214890,0,,,359,0.856,1.0
4830,2020-07-22,46,0072,1,GAN SHEMU'EL,860,0,,,11,0.839,0.0
4960,2020-07-22,47,0074,1,EN HOD,550,0,,,4,0.863,0.0
5183,2020-07-22,49,0077,1,AYYELET HASHAHAR,1570,0,,,6,0.851,0.0
5426,2020-07-22,51,0079,1,DEGANYA BET,620,0,,,2,0.884,0.0
5556,2020-07-22,52,0080,1,NAHALAL,920,0,,,8,0.816,0.0
5792,2020-07-22,54,0084,1,TEL YOSEF,510,0,,,1,0.882,0.0
6029,2020-07-22,56,0086,1,GEVA,630,0,,,1,0.83,0.0
6243,2020-07-22,58,0089,1,EN HAROD (IHUD),550,0,,,4,0.834,0.0
6372,2020-07-22,59,0090,1,HEFZI-BAH,440,0,,,3,0.847,0.0
6720,2020-07-22,62,0095,1,BET ALFA,1140,0,,,7,0.846,0.0
6851,2020-07-22,63,0096,1,YAGUR,1500,0,,,11,0.842,0.0
7053,2020-07-22,65,0098,1,KEFAR MALAL,330,0,,,2,0.875,0.0
7184,2020-07-22,66,0099,1,MIZPE RAMON,5060,0,,,15,0.779,0.0
7491,2020-07-22,69,0104,1,MIZRA,600,0,,,3,0.922,0.0
7714,2020-07-22,72,0112,1,KEFAR HASIDIM ALEF,780,0,,,4,0.84,0.0
7893,2020-07-22,74,0115,1,HOFIT,760,0,,,4,0.893,0.0
8024,2020-07-22,75,0122,1,RAMAT YISHAY,7200,0,,,70,0.834,0.5
8153,2020-07-22,76,0126,1,SARID,830,0,,,6,0.875,0.0
8357,2020-07-22,78,0128,1,GAT RIMMON,280,0,,,4,0.859,0.0
8489,2020-07-22,79,0130,1,MISHMAR HAEMEQ,1170,0,,,15,0.813,0.0
8617,2020-07-22,80,0132,1,KEFAR BARUKH,450,0,,,2,0.853,0.0
8863,2020-07-22,82,0134,1,YIF'AT,970,0,,,5,0.839,0.0
8994,2020-07-22,83,0135,1,RAMAT DAWID,380,0,,,3,0.799,0.0
9122,2020-07-22,84,0139,1,EN SHEMER,560,0,,,6,0.832,0.0
9409,2020-07-22,87,0142,1,SEDE YA'AQOV,1240,0,,,8,0.839,0.0
9667,2020-07-22,89,0144,1,GAN SHELOMO,470,0,,,2,0.81,0.0
9948,2020-07-22,92,0147,1,GIV'AT BRENNER,2560,0,,,54,0.788,0.5
10080,2020-07-22,93,0154,1,TEL MOND,11020,0,,,132,0.84,0.5
10210,2020-07-22,94,0155,1,BE'ER TOVIYYA,920,0,,,4,0.867,0.0
10412,2020-07-22,96,0157,1,EN WERED,1370,0,,,27,0.813,0.0
10543,2020-07-22,97,0158,1,NA'AN,1440,0,,,3,0.806,0.0
