,date,id,area_id,is_city,city_name,population,num_reports,symptoms_ratio,symptoms_ratio_confidence,num_reports_weighted,symptoms_ratio_weighted,symptoms_ratio_confidence_weighted
650,2020-08-27,7,0016,1,BET NIR,530,0,,,2,0.819,0.0
1488,2020-08-27,13,0026,1,ROSH PINNA,2780,0,,,22,0.805,0.0
1725,2020-08-27,15,0028,1,MAZKERET BATYA,10680,0,,,3,0.786,0.0
2057,2020-08-27,17,0031,1,OFAQIM,24640,0,,,1,0.781,0.0
2294,2020-08-27,19,0033,1,BAT SHELOMO,550,0,,,6,0.782,0.0
2918,2020-08-27,25,0043,1,METULA,1560,0,,,18,0.776,0.0
3141,2020-08-27,27,0046,1,YAVNE'EL,3890,0,,,1,0.81,0.0
3308,2020-08-27,28,0047,1,KEFAR TAVOR,3220,0,,,12,0.801,0.0
3473,2020-08-27,29,0048,1,MENAHEMYA,1010,0,,,1,1.058,0.0
3871,2020-08-27,32,0053,1,ATLIT,6030,0,,,2,0.802,0.0
5038,2020-08-27,41,0066,1,MERHAVYA(QIBBUZ),1080,0,,,3,0.812,0.0
5447,2020-08-27,44,0070,1,ASHDOD,214890,1,,,49,0.812,0.5
5684,2020-08-27,46,0072,1,GAN SHEMU'EL,860,0,,,4,0.849,0.0
5943,2020-08-27,48,0076,1,KEFAR GIL'ADI,650,0,,,1,0.845,0.0
6109,2020-08-27,49,0077,1,AYYELET HASHAHAR,1570,0,,,4,0.854,0.0
6552,2020-08-27,52,0080,1,NAHALAL,920,0,,,5,0.807,0.0
7212,2020-08-27,57,0088,1,KEREM BEN SHEMEN,80,0,,,1,0.906,0.0
7510,2020-08-27,59,0090,1,HEFZI-BAH,440,0,,,2,0.839,0.0
7883,2020-08-27,62,0095,1,BET ALFA,1140,0,,,2,0.852,0.0
8050,2020-08-27,63,0096,1,YAGUR,1500,0,,,3,0.84,0.0
8288,2020-08-27,65,0098,1,KEFAR MALAL,330,0,,,1,0.833,0.0
8455,2020-08-27,66,0099,1,MIZPE RAMON,5060,0,,,5,0.757,0.0
