,date,id,area_id,is_city,city_name,population,num_reports,symptoms_ratio,symptoms_ratio_confidence,num_reports_weighted,symptoms_ratio_weighted,symptoms_ratio_confidence_weighted
369,2020-07-20,5,0013,1,HAZEVA,490,0,,,1,0.822,0.0
564,2020-07-20,7,0016,1,BET NIR,530,0,,,9,0.85,0.0
798,2020-07-20,9,0021,1,BE'ER ORA,350,0,,,3,0.835,0.0
903,2020-07-20,10,0022,1,MIQWE YISRA'EL,390,0,,,2,0.79,0.0
1128,2020-07-20,12,0024,1,LAKHISH,700,0,,,16,0.81,0.0
1256,2020-07-20,13,0026,1,ROSH PINNA,2780,0,,,52,0.846,0.5
1455,2020-07-20,15,0028,1,MAZKERET BATYA,10680,0,,,55,0.784,0.5
1585,2020-07-20,16,0029,1,YESUD HAMA'ALA,1580,0,,,4,0.861,0.0
1714,2020-07-20,17,0031,1,OFAQIM,24640,0,,,24,0.83,0.0
1913,2020-07-20,19,0033,1,BAT SHELOMO,550,0,,,13,0.816,0.0
2322,2020-07-20,24,0041,1,ELYAKHIN,3230,0,,,3,0.867,0.0
2450,2020-07-20,25,0043,1,METULA,1560,0,,,35,0.798,0.0
2641,2020-07-20,27,0046,1,YAVNE'EL,3890,0,,,1,0.879,0.0
2770,2020-07-20,28,0047,1,KEFAR TAVOR,3220,0,,,23,0.839,0.0
2897,2020-07-20,29,0048,1,MENAHEMYA,1010,0,,,3,0.945,0.0
3098,2020-07-20,31,0052,1,LUZIT,490,0,,,1,0.845,0.0
3227,2020-07-20,32,0053,1,ATLIT,6030,0,,,47,0.996,0.5
3339,2020-07-20,33,0055,1,NOGAH,500,0,,,1,0.892,0.0
3608,2020-07-20,36,0059,1,NEHUSHA,940,0,,,1,0.814,0.0
3851,2020-07-20,38,0063,1,KINNERET(MOSHAVA),620,0,,,1,0.889,0.0
3980,2020-07-20,39,0064,1,YAD RAMBAM,1010,0,,,1,0.873,0.0
4231,2020-07-20,41,0066,1,MERHAVYA(QIBBUZ),1080,0,,,7,0.819,0.0
4359,2020-07-20,42,0067,1,OR HANER,610,0,,,1,0.863,0.0
4594,2020-07-20,44,0070,1,ASHDOD,214890,0,,,414,0.839,1.0
4786,2020-07-20,46,0072,1,GAN SHEMU'EL,860,0,,,13,0.844,0.0
4914,2020-07-20,47,0074,1,EN HOD,550,0,,,4,0.879,0.0
5135,2020-07-20,49,0077,1,AYYELET HASHAHAR,1570,0,,,7,0.856,0.0
5376,2020-07-20,51,0079,1,DEGANYA BET,620,0,,,3,0.891,0.0
5505,2020-07-20,52,0080,1,NAHALAL,920,0,,,10,0.837,0.0
5739,2020-07-20,54,0084,1,TEL YOSEF,510,0,,,1,0.896,0.0
5974,2020-07-20,56,0086,1,GEVA,630,0,,,1,0.842,0.0
6186,2020-07-20,58,0089,1,EN HAROD (IHUD),550,0,,,4,0.845,0.0
6313,2020-07-20,59,0090,1,HEFZI-BAH,440,0,,,5,0.85,0.0
6659,2020-07-20,62,0095,1,BET ALFA,1140,0,,,6,0.858,0.0
6788,2020-07-20,63,0096,1,YAGUR,1500,0,,,14,0.853,0.0
6988,2020-07-20,65,0098,1,KEFAR MALAL,330,0,,,1,0.893,0.0
7117,2020-07-20,66,0099,1,MIZPE RAMON,5060,0,,,15,0.795,0.0
7422,2020-07-20,69,0104,1,MIZRA,600,0,,,2,0.928,0.0
7643,2020-07-20,72,0112,1,KEFAR HASIDIM ALEF,780,0,,,4,0.848,0.0
7820,2020-07-20,74,0115,1,HOFIT,760,0,,,5,0.9,0.0
7949,2020-07-20,75,0122,1,RAMAT YISHAY,7200,0,,,88,0.835,0.5
8076,2020-07-20,76,0126,1,SARID,830,0,,,4,0.892,0.0
8278,2020-07-20,78,0128,1,GAT RIMMON,280,0,,,4,0.87,0.0
8408,2020-07-20,79,0130,1,MISHMAR HAEMEQ,1170,2,,,16,0.826,0.0
8534,2020-07-20,80,0132,1,KEFAR BARUKH,450,0,,,1,0.865,0.0
