,date,id,area_id,is_city,city_name,population,num_reports,symptoms_ratio,symptoms_ratio_confidence,num_reports_weighted,symptoms_ratio_weighted,symptoms_ratio_confidence_weighted
692,2020-09-20,7,0016,1,BET NIR,530,0,,,2,0.929,0.0
1603,2020-09-20,13,0026,1,ROSH PINNA,2780,4,,,23,0.89,0.0
1864,2020-09-20,15,0028,1,MAZKERET BATYA,10680,1,,,7,0.873,0.0
2240,2020-09-20,17,0031,1,OFAQIM,24640,0,,,1,0.876,0.0
2507,2020-09-20,19,0033,1,BAT SHELOMO,550,0,,,4,0.898,0.0
3180,2020-09-20,25,0043,1,METULA,1560,0,,,10,0.866,0.0
3607,2020-09-20,28,0047,1,KEFAR TAVOR,3220,1,,,11,0.9,0.0
3795,2020-09-20,29,0048,1,MENAHEMYA,1010,0,,,1,1.147,0.0
4960,2020-09-20,38,0063,1,KINNERET(MOSHAVA),620,0,,,1,0.912,0.0
5147,2020-09-20,39,0064,1,YAD RAMBAM,1010,0,,,1,0.898,0.0
5488,2020-09-20,41,0066,1,MERHAVYA(QIBBUZ),1080,0,,,1,0.926,0.0
5921,2020-09-20,44,0070,1,ASHDOD,214890,8,,,49,0.846,0.5
6178,2020-09-20,46,0072,1,GAN SHEMU'EL,860,1,,,2,0.938,0.0
6649,2020-09-20,49,0077,1,AYYELET HASHAHAR,1570,1,,,4,0.95,0.0
7136,2020-09-20,52,0080,1,NAHALAL,920,1,,,7,0.901,0.0
7738,2020-09-20,56,0086,1,GEVA,630,0,,,1,0.916,0.0
7848,2020-09-20,57,0088,1,KEREM BEN SHEMEN,80,1,,,1,0.985,0.0
8170,2020-09-20,59,0090,1,HEFZI-BAH,440,1,,,2,0.943,0.0
8745,2020-09-20,63,0096,1,YAGUR,1500,0,,,1,0.925,0.0
9189,2020-09-20,66,0099,1,MIZPE RAMON,5060,1,,,6,0.849,0.0
9393,2020-09-20,68,0103,1,TEL ADASHIM,1310,0,,,1,0.906,0.0
10271,2020-09-20,75,0122,1,RAMAT YISHAY,7200,2,,,11,0.908,0.0
10902,2020-09-20,79,0130,1,MISHMAR HAEMEQ,1170,3,,,20,0.903,0.0
11405,2020-09-20,82,0134,1,YIF'AT,970,3,,,3,0.929,0.0
11778,2020-09-20,84,0139,1,EN SHEMER,560,2,,,10,0.905,0.0
12443,2020-09-20,89,0144,1,GAN SHELOMO,470,1,,,4,0.919,0.0
12784,2020-09-20,92,0147,1,GIV'AT BRENNER,2560,3,,,19,0.917,0.0
12976,2020-09-20,93,0154,1,TEL MOND,11020,8,,,41,0.896,0.5
13435,2020-09-20,96,0157,1,EN WERED,1370,1,,,17,0.891,0.0
13626,2020-09-20,97,0158,1,NA'AN,1440,1,,,5,0.926,0.0
14000,2020-09-20,99,0160,1,HULDA,500,0,,,6,0.926,0.0
14744,2020-09-20,104,0166,1,GAN YAVNE,20700,5,,,46,0.852,0.5
