,date,id,area_id,is_city,city_name,population,num_reports,symptoms_ratio,symptoms_ratio_confidence,num_reports_weighted,symptoms_ratio_weighted,symptoms_ratio_confidence_weighted
701,2020-09-29,7,0016,1,BET NIR,530,0,,,3,0.939,0.0
1621,2020-09-29,13,0026,1,ROSH PINNA,2780,4,,,26,0.92,0.0
1891,2020-09-29,15,0028,1,MAZKERET BATYA,10680,1,,,6,0.906,0.0
2268,2020-09-29,17,0031,1,OFAQIM,24640,1,,,1,0.935,0.0
2545,2020-09-29,19,0033,1,BAT SHELOMO,550,0,,,4,0.951,0.0
3227,2020-09-29,25,0043,1,METULA,1560,2,,,10,0.919,0.0
3663,2020-09-29,28,0047,1,KEFAR TAVOR,3220,1,,,9,0.93,0.0
3859,2020-09-29,29,0048,1,MENAHEMYA,1010,1,,,1,1.192,0.0
5566,2020-09-29,41,0066,1,MERHAVYA(QIBBUZ),1080,1,,,1,0.943,0.0
6008,2020-09-29,44,0070,1,ASHDOD,214890,5,,,45,1.154,0.5
6274,2020-09-29,46,0072,1,GAN SHEMU'EL,860,0,,,4,0.965,0.0
6754,2020-09-29,49,0077,1,AYYELET HASHAHAR,1570,0,,,3,0.964,0.0
7250,2020-09-29,52,0080,1,NAHALAL,920,1,,,7,0.929,0.0
7971,2020-09-29,57,0088,1,KEREM BEN SHEMEN,80,1,,,5,1.047,0.0
8302,2020-09-29,59,0090,1,HEFZI-BAH,440,0,,,2,0.953,0.0
9336,2020-09-29,66,0099,1,MIZPE RAMON,5060,0,,,3,0.916,0.0
10427,2020-09-29,75,0122,1,RAMAT YISHAY,7200,4,,,16,0.933,0.0
11067,2020-09-29,79,0130,1,MISHMAR HAEMEQ,1170,3,,,17,0.939,0.0
11579,2020-09-29,82,0134,1,YIF'AT,970,0,,,5,0.931,0.0
11961,2020-09-29,84,0139,1,EN SHEMER,560,2,,,10,0.949,0.0
12635,2020-09-29,89,0144,1,GAN SHELOMO,470,0,,,4,0.931,0.0
12985,2020-09-29,92,0147,1,GIV'AT BRENNER,2560,6,,,38,0.913,0.0
13186,2020-09-29,93,0154,1,TEL MOND,11020,6,,,38,0.944,0.0
13654,2020-09-29,96,0157,1,EN WERED,1370,1,,,7,0.917,0.0
13854,2020-09-29,97,0158,1,NA'AN,1440,0,,,3,0.926,0.0
14237,2020-09-29,99,0160,1,HULDA,500,1,,,7,0.91,0.0
14607,2020-09-29,101,0163,1,TIMMORIM,800,0,,,1,0.936,0.0
14993,2020-09-29,104,0166,1,GAN YAVNE,20700,6,,,42,0.865,0.5
15194,2020-09-29,105,0167,1,EN HAHORESH,730,0,,,3,0.968,0.0
15394,2020-09-29,106,0168,1,KEFAR YONA,19960,5,,,30,0.957,0.0
15696,2020-09-29,108,0171,1,PARDESIYYA,5480,2,,,5,0.937,0.0
16431,2020-09-29,112,0176,1,AFIQIM,1440,0,,,10,0.953,0.0
16632,2020-09-29,113,0177,1,KEFAR BILU,1240,1,,,3,0.948,0.0
16944,2020-09-29,115,0182,1,EVEN YEHUDA,12410,4,,,25,0.94,0.0
17313,2020-09-29,117,0184,1,RAMAT HAKOVESH,960,0,,,1,0.94,0.0
18117,2020-09-29,123,0191,1,HADAR AM,520,0,,,2,0.987,0.0
18317,2020-09-29,124,0192,1,KEFAR HAHORESH,560,1,,,7,0.921,0.0
18848,2020-09-29,127,0195,1,QADIMA-ZORAN,17960,2,,,22,0.903,0.0
19219,2020-09-29,129,0197,1,MA'BAROT,920,1,,,1,0.955,0.0
19897,2020-09-29,133,0202,1,BET OVED,270,2,,,12,0.956,0.0
22363,2020-09-29,148,0229,1,GANNE TIQWA,14260,0,,,17,0.935,0.0
