,date,id,area_id,is_city,city_name,population,num_reports,symptoms_ratio,symptoms_ratio_confidence,num_reports_weighted,symptoms_ratio_weighted,symptoms_ratio_confidence_weighted
689,2020-09-17,7,0016,1,BET NIR,530,1,,,3,0.824,0.0
1597,2020-09-17,13,0026,1,ROSH PINNA,2780,3,,,25,0.811,0.0
1855,2020-09-17,15,0028,1,MAZKERET BATYA,10680,1,,,8,0.784,0.0
2228,2020-09-17,17,0031,1,OFAQIM,24640,0,,,1,0.806,0.0
2493,2020-09-17,19,0033,1,BAT SHELOMO,550,0,,,4,0.788,0.0
3163,2020-09-17,25,0043,1,METULA,1560,2,,,14,0.8,0.0
3587,2020-09-17,28,0047,1,KEFAR TAVOR,3220,1,,,10,0.807,0.0
3772,2020-09-17,29,0048,1,MENAHEMYA,1010,0,,,1,1.074,0.0
4209,2020-09-17,32,0053,1,ATLIT,6030,0,,,1,0.81,0.0
5453,2020-09-17,41,0066,1,MERHAVYA(QIBBUZ),1080,1,,,1,0.825,0.0
5883,2020-09-17,44,0070,1,ASHDOD,214890,6,,,55,0.799,0.5
6605,2020-09-17,49,0077,1,AYYELET HASHAHAR,1570,0,,,2,0.859,0.0
7089,2020-09-17,52,0080,1,NAHALAL,920,1,,,6,0.814,0.0
7688,2020-09-17,56,0086,1,GEVA,630,0,,,1,0.849,0.0
8115,2020-09-17,59,0090,1,HEFZI-BAH,440,0,,,2,0.844,0.0
8687,2020-09-17,63,0096,1,YAGUR,1500,0,,,2,0.846,0.0
9128,2020-09-17,66,0099,1,MIZPE RAMON,5060,1,,,6,0.774,0.0
9329,2020-09-17,68,0103,1,TEL ADASHIM,1310,0,,,1,0.8,0.0
10204,2020-09-17,75,0122,1,RAMAT YISHAY,7200,0,,,11,0.818,0.0
10832,2020-09-17,79,0130,1,MISHMAR HAEMEQ,1170,3,,,20,0.822,0.0
11334,2020-09-17,82,0134,1,YIF'AT,970,0,,,3,0.826,0.0
11703,2020-09-17,84,0139,1,EN SHEMER,560,2,,,10,0.844,0.0
12365,2020-09-17,89,0144,1,GAN SHELOMO,470,1,,,3,0.822,0.0
12703,2020-09-17,92,0147,1,GIV'AT BRENNER,2560,8,,,24,0.817,0.0
12892,2020-09-17,93,0154,1,TEL MOND,11020,7,,,51,0.798,0.5
13348,2020-09-17,96,0157,1,EN WERED,1370,3,,,15,0.805,0.0
13536,2020-09-17,97,0158,1,NA'AN,1440,0,,,3,0.851,0.0
13907,2020-09-17,99,0160,1,HULDA,500,1,,,8,0.805,0.0
14648,2020-09-17,104,0166,1,GAN YAVNE,20700,5,,,50,0.756,0.5
14837,2020-09-17,105,0167,1,EN HAHORESH,730,0,,,3,0.873,0.0
15025,2020-09-17,106,0168,1,KEFAR YONA,19960,6,,,28,0.785,0.0
15315,2020-09-17,108,0171,1,PARDESIYYA,5480,0,,,4,0.817,0.0
16038,2020-09-17,112,0176,1,AFIQIM,1440,2,,,12,0.848,0.0
16227,2020-09-17,113,0177,1,KEFAR BILU,1240,0,,,6,0.833,0.0
16527,2020-09-17,115,0182,1,EVEN YEHUDA,12410,3,,,25,0.827,0.0
16885,2020-09-17,117,0184,1,RAMAT HAKOVESH,960,0,,,2,0.823,0.0
17678,2020-09-17,123,0191,1,HADAR AM,520,2,,,2,0.874,0.0
17866,2020-09-17,124,0192,1,KEFAR HAHORESH,560,2,,,12,0.804,0.0
18385,2020-09-17,127,0195,1,QADIMA-ZORAN,17960,3,,,27,0.816,0.0
18745,2020-09-17,129,0197,1,MA'BAROT,920,0,,,2,0.848,0.0
18932,2020-09-17,130,0198,1,ZOFIT,1280,0,,,1,0.861,0.0
19407,2020-09-17,133,0202,1,BET OVED,270,2,,,10,0.87,0.0
19854,2020-09-17,136,0206,1,RAMOT HASHAVIM,1640,0,,,1,0.835,0.0
21861,2020-09-17,148,0229,1,GANNE TIQWA,14260,3,,,17,0.838,0.0
22048,2020-09-17,149,0230,1,MA'AS,780,3,,,17,0.819,0.0
22236,2020-09-17,150,0232,1,SHEFAYIM,1140,0,,,6,0.795,0.0
23076,2020-09-17,155,0239,1,GAN HAYYIM,830,1,,,8,0.798,0.0
23265,2020-09-17,156,0240,1,YOQNE'AM ILLIT,20260,3,,,14,0.817,0.0
23454,2020-09-17,157,0241,1,YOQNE'AM(MOSHAVA),1300,1,,,13,0.828,0.0
23799,2020-09-17,159,0246,1,NETIVOT,28710,0,,,2,0.78,0.0
24348,2020-09-17,162,0249,1,KEFAR SIRKIN,1290,0,,,2,0.823,0.0
24711,2020-09-17,164,0252,1,BITAN AHARON,390,0,,,2,0.834,0.0
24899,2020-09-17,165,0253,1,HULATA,530,2,,,10,0.84,0.0
26042,2020-09-17,173,0264,1,SHA'AR HAGOLAN,570,0,,,8,0.89,0.0
27188,2020-09-17,181,0274,1,KEFAR MENAHEM,1220,2,,,7,0.801,0.0
